,0
"('500', '550', '540')",0.46882028227783157
"('500', '550', '560')",0.5129732205675415
"('500', '550', '570')",0.520586865674967
"('500', '550', '580')",0.5204993241041078
"('500', '550', '590')",0.5230345554137255
"('500', '550', '600')",0.5279975711308853
"('500', '550', '610')",0.5323623347753965
"('500', '550', '620')",0.5339411928677353
"('500', '550', '630')",0.5450633343300231
"('500', '550', '640')",0.5424256939196672
"('500', '550', '650')",0.48380333433542044
"('500', '550', '660')",0.4592647127421159
"('500', '550', '670')",0.4071139234078216
"('500', '550', '680')",0.38935390356782185
"('500', '550', '690')",0.4827415599437883
"('500', '550', '700')",0.6678977024342532
"('500', '550', '710')",0.768560789483312
"('500', '550', '720')",0.8291092623850895
"('500', '550', '730')",0.8797569022650975
"('500', '550', '740')",0.913508069505049
"('500', '550', '750')",0.9495006112703672
"('500', '560', '510')",0.32151015404878447
"('500', '560', '520')",0.38104960343185057
"('500', '560', '530')",0.42778925136305623
"('500', '560', '540')",0.46122239655281083
"('500', '560', '550')",0.48279367611374124
"('500', '560', '570')",0.512143644418809
"('500', '560', '580')",0.5120536774786844
"('500', '560', '590')",0.5145451363773736
"('500', '560', '600')",0.5194258985644973
"('500', '560', '610')",0.5237177238566331
"('500', '560', '620')",0.5252691043175828
"('500', '560', '630')",0.5362075417545598
"('500', '560', '640')",0.533608925641581
"('500', '560', '650')",0.4759387244572222
"('500', '560', '660')",0.45180274341506466
"('500', '560', '670')",0.4005026700723723
"('500', '560', '680')",0.3830381505907213
"('500', '560', '690')",0.47492691982834034
"('500', '560', '700')",0.6571021124503733
"('500', '560', '710')",0.7561379023803585
"('500', '560', '720')",0.8157027864627635
"('500', '560', '730')",0.8655222063726147
"('500', '560', '740')",0.8987227501868249
"('500', '560', '750')",0.9341315181633321
"('500', '570', '510')",0.2971330397382844
"('500', '570', '520')",0.352170916621243
"('500', '570', '530')",0.3953806638961923
"('500', '570', '540')",0.42628545555089725
"('500', '570', '550')",0.4462250098210978
"('500', '570', '560')",0.4664306272857357
"('500', '570', '580')",0.4732614983610417
"('500', '570', '590')",0.475561958909529
"('500', '570', '600')",0.4800718205547734
"('500', '570', '610')",0.48404006370449904
"('500', '570', '620')",0.48547450341926646
"('500', '570', '630')",0.49558524645983426
"('500', '570', '640')",0.49318065883239903
"('500', '570', '650')",0.4398823285302036
"('500', '570', '660')",0.4175853083048995
"('500', '570', '670')",0.3701772097665471
"('500', '570', '680')",0.3540480407239316
"('500', '570', '690')",0.4390177069180683
"('500', '570', '700')",0.6074568964455289
"('500', '570', '710')",0.6990263956869132
"('500', '570', '720')",0.7540980206772856
"('500', '570', '730')",0.8001515494805607
"('500', '570', '740')",0.8308490035404468
"('500', '570', '750')",0.8635851779763501
"('500', '580', '510')",0.26672535193422586
"('500', '580', '520')",0.31614615737384155
"('500', '580', '530')",0.35494556683114475
"('500', '580', '540')",0.3826925418958671
"('500', '580', '550')",0.40059624712670927
"('500', '580', '560')",0.418733839051566
"('500', '580', '570')",0.4249425890617158
"('500', '580', '590')",0.4269272868723595
"('500', '580', '600')",0.4309775106251197
"('500', '580', '610')",0.43454249628740493
"('500', '580', '620')",0.4358321925434958
"('500', '580', '630')",0.44491100075697276
"('500', '580', '640')",0.44275118063180297
"('500', '580', '650')",0.39490538715250234
"('500', '580', '660')",0.3748981213364124
"('500', '580', '670')",0.3323417866000973
"('500', '580', '680')",0.317873362338009
"('500', '580', '690')",0.3941897458143031
"('500', '580', '700')",0.5454612669334999
"('500', '580', '710')",0.6276972473538143
"('500', '580', '720')",0.6771542069544216
"('500', '580', '730')",0.718506098592048
"('500', '580', '740')",0.7460762308946136
"('500', '580', '750')",0.7754753014125431
"('500', '590', '510')",0.23280116850122923
"('500', '590', '520')",0.2759471260155737
"('500', '590', '530')",0.30982328192909314
"('500', '590', '540')",0.3340477651007874
"('500', '590', '550')",0.34967878130019336
"('500', '590', '560')",0.36551002507793395
"('500', '590', '570')",0.37092998184338954
"('500', '590', '580')",0.3708599803393382
"('500', '590', '600')",0.3761955791926648
"('500', '590', '610')",0.37930946052313774
"('500', '590', '620')",0.38043657429984745
"('500', '590', '630')",0.3883623489512782
"('500', '590', '640')",0.38647658423323294
"('500', '590', '650')",0.34471577769421624
"('500', '590', '660')",0.3272610824647222
"('500', '590', '670')",0.290117598065721
"('500', '590', '680')",0.2774979124394408
"('500', '590', '690')",0.3441459270326679
"('500', '590', '700')",0.4762399448296679
"('500', '590', '710')",0.5480522261385459
"('500', '590', '720')",0.591240332769472
"('500', '590', '730')",0.6273454919919641
"('500', '590', '740')",0.6514236056164111
"('500', '590', '750')",0.6770975867341238
"('500', '600', '510')",0.20560679094077516
"('500', '600', '520')",0.24373113180072725
"('500', '600', '530')",0.27366163152554157
"('500', '600', '540')",0.29506086161815515
"('500', '600', '550')",0.30887159028130995
"('500', '600', '560')",0.3228546303668365
"('500', '600', '570')",0.32764238377840194
"('500', '600', '580')",0.3275816260131066
"('500', '600', '590')",0.3291706746406564
"('500', '600', '610')",0.335048746782743
"('500', '600', '620')",0.3360465035962279
"('500', '600', '630')",0.3430490107268158
"('500', '600', '640')",0.34138374560511053
"('500', '600', '650')",0.3044996180548156
