#SampleID	chlamy_RA	sampling_day	pbr_tube	max_od_group	bact_RA	B_mean	C_mean	B_std	C_std	cc_mean_ratio	PBR_680	PBR_720
exp4.d7.t2	0.0241624365482234	7.0	2.0	0.2	0.9758375634517766	45133109.58653	348427.6730133334	4832827.3445046935	7676.423970196755	129.5336538461538	0.19253	0.10565999999999999
exp4.d7.t5	0.072856221792392	7.0	5.0	0.2	0.927143778207608	38136078.86452667	234518.62606666665	2389218.365187521	19025.85404022297	162.61428571428573	0.35251	0.17327
exp4.d10.t6	0.137171052631579	10.0	6.0	0.2	0.862828947368421	40040705.13479667	487463.71561	1649681.1929519146	64160.001058106114	82.14089347079039	0.33204	0.1934
exp4.d10.t5	0.183944374209861	10.0	5.0	0.2	0.816055625790139	35586526.37257334	1010105.2251299999	2169024.9840598824	118177.0448857983	35.23051409618574	0.39543	0.19367
exp4.d10.t4	0.2461257976299	10.0	4.0	0.2	0.7538742023700999	22197187.95721	480763.18343666656	1794088.60440814	33460.756333860874	46.17073170731709	0.3122	0.19303
exp4.d10.t3	0.229390681003584	10.0	3.0	0.2	0.770609318996416	25765221.33951	956500.9677433334	283033.0487963092	49579.410489351874	26.936952714535902	0.35408	0.19858
exp4.d10.t2	0.0670103092783505	10.0	2.0	0.2	0.9329896907216495	47887028.30977	659332.3658559999	3353690.611700202	38007.43615378478	72.62957317073173	0.31156999999999996	0.17184000000000002
exp4.d10.t1	0.14707305273343	10.0	1.0	0.2	0.85292694726657	38074098.941923335	1092186.7442533334	3589459.121892328	92709.19368386401	34.86042944785276	0.35824	0.19035
exp4.d10.t7	0.0941890166028097	10.0	7.0	0.2	0.9058109833971904	33589767.78492	626499.7582066666	1423164.2863391188	45599.32453704318	53.614973262032095	0.3638	0.19337000000000001
exp4.d10.t8	0.16183986371379902	10.0	8.0	0.2	0.838160136286201	33866164.73707	567870.1016899999	3103223.6367250374	90596.6712144356	59.63716814159293	0.36209	0.19130999999999998
exp4.d11.t8	0.20859965136548494	11.0	8.0	0.2	0.791400348634515	35916527.582109995	867718.9164466667	2636141.600640566	73228.41751867381	41.39189189189189	0.37399	0.19738
exp4.d11.t7	0.177262931034483	11.0	7.0	0.2	0.822737068965517	35943329.71080333	696855.3460266666	2589959.92181618	5802.83108098167	51.57932692307693	0.35291	0.18774000000000002
exp4.d11.t6	0.19780701754386	11.0	6.0	0.2	0.80219298245614	45829964.93255667	859343.2512299998	4996511.351147526	84540.29870820633	53.33138401559455	0.33702	0.19499
exp4.d11.t5	0.14004914004914	11.0	5.0	0.2	0.8599508599508601	41437766.092936665	799038.4616700001	4699896.452962405	170641.71760569836	51.85953878406708	0.37378	0.1964
exp4.d11.t3	0.219846022241232	11.0	3.0	0.2	0.780153977758768	23409984.28058333	1179293.662506667	1726971.1784219744	68229.54867685032	19.850852272727263	0.34048	0.19266
exp4.d11.t2	0.15606936416185002	11.0	2.0	0.2	0.84393063583815	43169853.65974333	855992.9851433333	2875443.329932848	107469.93558275432	50.43248532289628	0.36313	0.19483
exp4.d11.t1	0.18421052631578896	11.0	1.0	0.2	0.8157894736842111	51331101.84686334	1323355.1042333334	4928306.038352014	30705.695880786923	38.78860759493671	0.36154000000000003	0.18923
exp4.d11.t4	0.138044371405094	11.0	4.0	0.2	0.8619556285949059	31368541.369459998	649951.6208133333	2029309.4337410415	65394.58514594014	48.26288659793814	0.30805	0.19712000000000002
exp4.d14.t2	0.155729343760626	14.0	2.0	0.2	0.844270656239374	37182369.78518888	943658.2810777776	1142912.639164643	148967.58893886296	39.40236686390533	0.37156	0.1971
exp4.d14.t3	0.226757369614512	14.0	3.0	0.2	0.773242630385488	19191440.899788886	552793.9042999999	1285721.4476210116	90596.6712144356	34.717171717171716	0.35341999999999996	0.19744
exp4.d14.t4	0.26289180990899896	14.0	4.0	0.2	0.737108190091001	23879021.53271666	594672.2303833333	1158781.6825764806	85003.7180694645	40.154929577464785	0.30365	0.19326
exp4.d14.t5	0.228650137741047	14.0	5.0	0.2	0.771349862258953	27321419.936766665	826398.9680444446	1813848.8798874568	194151.70162233792	33.06081081081081	0.39115	0.19846
exp4.d14.t6	0.202358311144922	14.0	6.0	0.2	0.797641688855078	41745990.57291	752134.7364566667	5510698.898268446	104846.46878964137	55.503340757238306	0.33639	0.19545
exp4.d14.t7	0.233493397358944	14.0	7.0	0.2	0.766506602641056	34398857.04485001	640738.3890750001	2001801.509018815	41457.427701573	53.68627450980392	0.37842	0.19679000000000002
exp4.d14.t8	0.368377483443709	14.0	8.0	0.2	0.631622516556291	26874717.791877776	851525.9636944445	6744825.657260235	135658.19950112628	31.560655737704913	0.36851	0.19333
exp4.d14.t1	0.129347969845259	14.0	1.0	0.2	0.870652030154741	25025370.91203778	1087998.911645	1125305.7874664005	116855.3888788431	23.001283038234536	0.37843000000000004	0.19735
exp4.d15.t3	0.291143844335334	15.0	3.0	0.2	0.708856155664666	13867309.710394448	723099.0970388887	701625.4974894612	24178.462837423373	19.177606177606187	0.35573	0.19835
exp4.d15.t4	0.309184255561894	15.0	4.0	0.2	0.690815744438106	15455894.213155558	477412.91735	239452.246247386	29014.155404908037	32.37426900584796	0.30746	0.19735
exp4.d15.t5	0.119334355156558	15.0	5.0	0.2	0.880665644843442	24987401.22972223	924115.0622388887	3233639.5879589417	47626.048470358866	27.039274924471314	0.38832	0.20007
