experiment,sampling_day,pbr_tube,Sample_concentration,cc_sampling_time,Filename,type_of_cell
1,42,6,29661915.82,4/8/2019 17:45,JF_PBR_xp1_d42_t6_01.#m4,b
1,42,6,100507.9826,4/8/2019 17:45,JF_PBR_xp1_d42_t6_01.#m4,c
1,42,6,29653875.19,4/8/2019 17:45,JF_PBR_xp1_d42_t6_02.#m4,b
1,42,6,84426.70538,4/8/2019 17:45,JF_PBR_xp1_d42_t6_02.#m4,c
1,42,7,28612612.49,4/8/2019 17:47,JF_PBR_xp1_d42_t7_01.#m4,b
1,42,7,44223.51234,4/8/2019 17:47,JF_PBR_xp1_d42_t7_01.#m4,c
1,42,7,28367373.01,4/8/2019 17:48,JF_PBR_xp1_d42_t7_02.#m4,b
1,42,7,52264.15095,4/8/2019 17:48,JF_PBR_xp1_d42_t7_02.#m4,c
1,42,8,26654716.99,4/8/2019 17:49,JF_PBR_xp1_d42_t8_01.#m4,b
1,42,8,0,4/8/2019 17:49,JF_PBR_xp1_d42_t8_01.#m4,c
1,42,8,26063730.05,4/8/2019 17:50,JF_PBR_xp1_d42_t8_02.#m4,b
1,42,8,0,4/8/2019 17:50,JF_PBR_xp1_d42_t8_02.#m4,c
1,49,1,3247010886,4/15/2019 10:30,JF_PBR_xp1_d49_t1_01.#m4,b
1,49,1,1005079.826,4/15/2019 10:30,JF_PBR_xp1_d49_t1_01.#m4,c
1,49,1,878439767.9,4/15/2019 10:31,JF_PBR_xp1_d49_t1_02.#m4,b
1,49,1,603047.8956,4/15/2019 10:31,JF_PBR_xp1_d49_t1_02.#m4,c
1,49,1,851101596.7,4/15/2019 10:31,JF_PBR_xp1_d49_t1_03.#m4,b
1,49,1,1005079.826,4/15/2019 10:31,JF_PBR_xp1_d49_t1_03.#m4,c
1,49,2,1374949202,4/15/2019 10:34,JF_PBR_xp1_d49_t2_01.#m4,b
1,49,2,603047.8956,4/15/2019 10:34,JF_PBR_xp1_d49_t2_01.#m4,c
1,49,2,253280116.2,4/15/2019 10:35,JF_PBR_xp1_d49_t2_02.#m4,b
1,49,2,0,4/15/2019 10:35,JF_PBR_xp1_d49_t2_02.#m4,c
1,49,2,172672714.1,4/15/2019 10:35,JF_PBR_xp1_d49_t2_03.#m4,b
1,49,2,402031.9304,4/15/2019 10:35,JF_PBR_xp1_d49_t2_03.#m4,c
1,49,3,2708690131,4/15/2019 10:41,JF_PBR_xp1_d49_t3_01.#m4,b
1,49,3,12462989.84,4/15/2019 10:41,JF_PBR_xp1_d49_t3_01.#m4,c
1,49,3,1950658926,4/15/2019 10:41,JF_PBR_xp1_d49_t3_02.#m4,b
1,49,3,10251814.23,4/15/2019 10:41,JF_PBR_xp1_d49_t3_02.#m4,c
1,49,3,5654378085,4/15/2019 10:42,JF_PBR_xp1_d49_t3_03.#m4,b
1,49,3,29348330.92,4/15/2019 10:42,JF_PBR_xp1_d49_t3_03.#m4,c
1,49,4,277804063.9,4/15/2019 10:43,JF_PBR_xp1_d49_t4_01.#m4,b
1,49,4,1206095.791,4/15/2019 10:43,JF_PBR_xp1_d49_t4_01.#m4,c
1,49,4,126439042.1,4/15/2019 10:44,JF_PBR_xp1_d49_t4_02.#m4,b
1,49,4,1407111.756,4/15/2019 10:44,JF_PBR_xp1_d49_t4_02.#m4,c
1,49,4,113976052.3,4/15/2019 10:44,JF_PBR_xp1_d49_t4_03.#m4,b
1,49,4,201015.9652,4/15/2019 10:44,JF_PBR_xp1_d49_t4_03.#m4,c
1,49,5,2933626996,4/15/2019 10:46,JF_PBR_xp1_d49_t5_01.#m4,b
1,49,5,5025399.13,4/15/2019 10:46,JF_PBR_xp1_d49_t5_01.#m4,c
1,49,5,980756894.2,4/15/2019 10:47,JF_PBR_xp1_d49_t5_02.#m4,b
1,49,5,2412191.582,4/15/2019 10:47,JF_PBR_xp1_d49_t5_02.#m4,c
1,49,5,692701016.1,4/15/2019 10:47,JF_PBR_xp1_d49_t5_03.#m4,b
1,49,5,1407111.756,4/15/2019 10:47,JF_PBR_xp1_d49_t5_03.#m4,c
1,49,6,1184185051,4/15/2019 10:50,JF_PBR_xp1_d49_t6_01.#m4,b
1,49,6,4623367.2,4/15/2019 10:50,JF_PBR_xp1_d49_t6_01.#m4,c
1,49,6,533697387.6,4/15/2019 10:50,JF_PBR_xp1_d49_t6_02.#m4,b
1,49,6,4824383.165,4/15/2019 10:50,JF_PBR_xp1_d49_t6_02.#m4,c
1,49,6,458718432.6,4/15/2019 10:51,JF_PBR_xp1_d49_t6_03.#m4,b
1,49,6,5829462.991,4/15/2019 10:51,JF_PBR_xp1_d49_t6_03.#m4,c
1,49,7,1708434688,4/15/2019 10:52,JF_PBR_xp1_d49_t7_01.#m4,b
1,49,7,603047.8956,4/15/2019 10:52,JF_PBR_xp1_d49_t7_01.#m4,c
1,49,7,261521770.7,4/15/2019 10:53,JF_PBR_xp1_d49_t7_02.#m4,b
1,49,7,603047.8956,4/15/2019 10:53,JF_PBR_xp1_d49_t7_02.#m4,c
1,49,7,186341799.7,4/15/2019 10:55,JF_PBR_xp1_d49_t7_03.#m4,b
1,49,7,402031.9304,4/15/2019 10:55,JF_PBR_xp1_d49_t7_03.#m4,c
1,49,8,1558677794,4/15/2019 10:57,JF_PBR_xp1_d49_t8_01.#m4,b
1,49,8,201015.9652,4/15/2019 10:57,JF_PBR_xp1_d49_t8_01.#m4,c
1,49,8,488870827.4,4/15/2019 10:58,JF_PBR_xp1_d49_t8_02.#m4,b
1,49,8,201015.9652,4/15/2019 10:58,JF_PBR_xp1_d49_t8_02.#m4,c
1,49,8,401629898.5,4/15/2019 10:58,JF_PBR_xp1_d49_t8_03.#m4,b
1,49,8,0,4/15/2019 10:58,JF_PBR_xp1_d49_t8_03.#m4,c
2,0,1,3369027.577,4/17/2019 19:42,JF_PBR_xp2_d0_t1_01.#m4,b
2,0,1,100507.9826,4/17/2019 19:42,JF_PBR_xp2_d0_t1_01.#m4,c
2,0,1,1499579.1,4/17/2019 19:43,JF_PBR_xp2_d0_t1_02.#m4,b
2,0,1,100507.9826,4/17/2019 19:43,JF_PBR_xp2_d0_t1_02.#m4,c
2,0,1,2420232.221,4/17/2019 19:43,JF_PBR_xp2_d0_t1_03.#m4,b
2,0,1,124629.8984,4/17/2019 19:43,JF_PBR_xp2_d0_t1_03.#m4,c
2,0,2,1666422.352,4/17/2019 19:48,JF_PBR_xp2_d0_t2_01.#m4,b
2,0,2,112568.9405,4/17/2019 19:48,JF_PBR_xp2_d0_t2_01.#m4,c
2,0,2,2353896.952,4/17/2019 19:48,JF_PBR_xp2_d0_t2_02.#m4,b
2,0,2,199005.8055,4/17/2019 19:48,JF_PBR_xp2_d0_t2_02.#m4,c
2,0,2,2693613.934,4/17/2019 19:49,JF_PBR_xp2_d0_t2_03.#m4,b
2,0,2,178904.209,4/17/2019 19:49,JF_PBR_xp2_d0_t2_03.#m4,c
2,0,3,2691603.774,4/17/2019 19:56,JF_PBR_xp2_d0_t3_01.#m4,b
2,0,3,174883.8897,4/17/2019 19:56,JF_PBR_xp2_d0_t3_01.#m4,c
2,0,4,3397169.812,4/17/2019 19:59,JF_PBR_xp2_d0_t4_01.#m4,b
2,0,4,273381.7127,4/17/2019 19:59,JF_PBR_xp2_d0_t4_01.#m4,c
2,0,4,4004238.027,4/17/2019 20:03,JF_PBR_xp2_d0_t4_02.#m4,b
2,0,4,361828.7374,4/17/2019 20:03,JF_PBR_xp2_d0_t4_02.#m4,c
2,0,4,4173091.438,4/17/2019 20:03,JF_PBR_xp2_d0_t4_03.#m4,b
2,0,4,297503.6285,4/17/2019 20:03,JF_PBR_xp2_d0_t4_03.#m4,c
2,0,4,3976095.792,4/17/2019 20:04,JF_PBR_xp2_d0_t4_04.#m4,b
2,0,4,309564.5864,4/17/2019 20:04,JF_PBR_xp2_d0_t4_04.#m4,c
2,0,5,2428272.86,4/17/2019 20:06,JF_PBR_xp2_d0_t5_01.#m4,b
2,0,5,257300.4355,4/17/2019 20:06,JF_PBR_xp2_d0_t5_01.#m4,c
2,0,5,3360986.938,4/17/2019 20:07,JF_PBR_xp2_d0_t5_02.#m4,b
2,0,5,281422.3513,4/17/2019 20:07,JF_PBR_xp2_d0_t5_02.#m4,c
2,0,5,5141988.39,4/17/2019 20:07,JF_PBR_xp2_d0_t5_03.#m4,b
2,0,5,454296.0814,4/17/2019 20:07,JF_PBR_xp2_d0_t5_03.#m4,c
2,0,6,329666.1829,4/17/2019 20:11,JF_PBR_xp2_d0_t6_01.#m4,b
2,0,6,309564.5864,4/17/2019 20:11,JF_PBR_xp2_d0_t6_01.#m4,c
2,0,6,349767.7794,4/17/2019 20:11,JF_PBR_xp2_d0_t6_02.#m4,b
2,0,6,269361.3934,4/17/2019 20:11,JF_PBR_xp2_d0_t6_02.#m4,c
2,0,7,976937.5909,4/17/2019 20:15,JF_PBR_xp2_d0_t7_01.#m4,b
2,0,7,418113.2076,4/17/2019 20:15,JF_PBR_xp2_d0_t7_01.#m4,c
