,Measurement_type,Wavelength,Row,Column,Measurement,Well,Sample,True_abs_C,True_abs_B,Blank_for_measurement,Measurement-Blank
124,Absorbance,750_nm,E,4,0.3506999909877777,E4,S52,0.175,0.1,0.09009999781847,0.2605999931693077
125,Absorbance,750_nm,F,4,0.3418000042438507,F4,S64,0.175,0.05,0.09009999781847,0.2517000064253807
126,Absorbance,750_nm,G,4,0.3278999924659729,G4,S76,0.175,0.025,0.09009999781847,0.2377999946475029
127,Absorbance,750_nm,H,4,0.27219998836517334,H4,S88,0.175,0.0,0.09009999781847,0.18209999054670334
128,Absorbance,750_nm,A,5,0.4422000050544739,A5,S05,0.15,0.2,0.09009999781847,0.3521000072360039
129,Absorbance,750_nm,B,5,0.39730000495910645,B5,S17,0.15,0.175,0.09009999781847,0.30720000714063644
130,Absorbance,750_nm,C,5,0.3619000017642975,C5,S29,0.15,0.15,0.09009999781847,0.2718000039458275
131,Absorbance,750_nm,D,5,0.3402000069618225,D5,S41,0.15,0.125,0.09009999781847,0.2501000091433525
132,Absorbance,750_nm,E,5,0.33469998836517334,E5,S53,0.15,0.1,0.09009999781847,0.24459999054670334
133,Absorbance,750_nm,F,5,0.32710000872612,F5,S65,0.15,0.05,0.09009999781847,0.23700001090765
134,Absorbance,750_nm,G,5,0.2549000084400177,G5,S77,0.15,0.025,0.09009999781847,0.1648000106215477
135,Absorbance,750_nm,H,5,0.24310000240802765,H5,S89,0.15,0.0,0.09009999781847,0.15300000458955765
136,Absorbance,750_nm,A,6,0.41839998960494995,A6,S06,0.125,0.2,0.09009999781847,0.32829999178647995
137,Absorbance,750_nm,B,6,0.4018000066280365,B6,S18,0.125,0.175,0.09009999781847,0.3117000088095665
138,Absorbance,750_nm,C,6,0.35409998893737793,C6,S30,0.125,0.15,0.09009999781847,0.26399999111890793
139,Absorbance,750_nm,D,6,0.362199991941452,D6,S42,0.125,0.125,0.09009999781847,0.272099994122982
140,Absorbance,750_nm,E,6,0.3172999918460846,E6,S54,0.125,0.1,0.09009999781847,0.2271999940276146
141,Absorbance,750_nm,F,6,0.29030001163482666,F6,S66,0.125,0.05,0.09009999781847,0.20020001381635666
142,Absorbance,750_nm,G,6,0.23119999468326569,G6,S78,0.125,0.025,0.09009999781847,0.14109999686479568
143,Absorbance,750_nm,H,6,0.21040000021457672,H6,S90,0.125,0.0,0.09009999781847,0.12030000239610672
144,Absorbance,750_nm,A,7,0.40950000286102295,A7,S07,0.1,0.2,0.09009999781847,0.31940000504255295
145,Absorbance,750_nm,B,7,0.36890000104904175,B7,S19,0.1,0.175,0.09009999781847,0.27880000323057175
146,Absorbance,750_nm,C,7,0.3440999984741211,C7,S31,0.1,0.15,0.09009999781847,0.2540000006556511
147,Absorbance,750_nm,D,7,0.3091000020503998,D7,S43,0.1,0.125,0.09009999781847,0.21900000423192978
