,well,content,t(h),A750c,F680c
162,F4,ICL_139A,21,0.072613094,552.6666667
163,F5,ICL_103,21,0.048329762,566.6666667
164,F6,ICL_160,21,0.044663093,308.6666667
165,F7,ICL_129A,21,0.197879758,561.1666667
166,F8,ICL_129B,21,0.033613097,444.6666667
167,F9,ICL_133,21,0.048946428,474.8333333
168,G1,ICL_144,21,0.020679763,477
169,G10,ICL_184BA,21,0.176396426,595.6666667
170,G11,ICL_184BB,21,0.168946431,722.3333333
171,G12,ICL_193,21,0.05307976,520.5
172,G2,ICL_41,21,0.070563091,588.6666667
173,G3,ICL_114B,21,0.075463095,653.3333333
174,G4,ICL_208B,21,0.045979762,438.5
175,G5,ICL_117,21,0.057279764,339.1666667
176,G6,ICL_132,21,0.047713095,318.6666667
177,G7,ICL_48,21,0.181863091,571.3333333
178,G8,ICL_201,21,0.162846427,651.1666667
179,G9,ICL_172,21,0.167463105,776.6666667
180,H1,ICL_186A,21,0.300779766,429
181,H10,Chlamy,21,0.012063096,323.3333333
182,H11,Chlamy,21,0.008813094,214.8333333
183,H12,Chlamy,21,0.007963096,219.8333333
184,H2,ICL_186B,21,0.017846428,366.5
185,H3,ICL_170,21,0.242896429,454.1666667
186,H4,ICL_179A,21,0.247613093,380.1666667
187,H5,ICL_179B,21,0.028146427,383.6666667
188,H6,Chlamy,21,0.011563094,413.1666667
189,H7,Chlamy,21,0.023696427,331
190,H8,Chlamy,21,0.021679764,327.1666667
191,H9,Chlamy,21,0.012063095,255.3333333
192,A1,ICL_162,42,0.320338093,3175.5
193,A10,ICL_118B,42,0.16182143,2570.666667
194,A11,ICL_100,42,0.051888096,1751.5
195,A12,ICL_108,42,0.03522143,970.6666667
196,A2,ICL_202A,42,0.275754762,3450.333333
197,A3,ICL_202B,42,0.276854761,3483.666667
198,A4,ICL_202C,42,0.271638098,3505.166667
199,A5,ICL_131,42,0.26685476,3556.333333
200,A6,ICL_116,42,0.283521431,3396.333333
201,A7,ICL_112,42,0.257188094,3465
202,A8,ICL_163,42,0.05805476,1952.5
203,A9,ICL_24,42,0.042638098,1553.5
204,B1,ICL_115,42,0.034188094,1498.833333
205,B10,ICL_20BA,42,0.029988095,1125.333333
206,B11,ICL_20BB,42,0.055604763,1843.5
207,B12,ICL_60,42,0.032471428,1227.5
208,B2,ICL_199,42,0.036638093,1562
209,B3,ICL_101,42,0.024121428,1068.666667
210,B4,ICL_139A,42,0.028121427,1163.833333
211,B5,ICL_103,42,0.028421432,1068.166667
212,B6,ICL_160,42,0.048821429,1834
213,B7,ICL_129A,42,0.263521425,3254.833333
214,B8,ICL_129B,42,0.029554759,1074.166667
215,B9,ICL_133,42,0.032854765,1229.833333
216,C1,ICL_144,42,0.030471429,1120.666667
217,C10,ICL_184BA,42,0.242354763,3557
218,C11,ICL_184BB,42,0.225788099,3419.166667
219,C12,ICL_193,42,0.313321429,3424.333333
