,well,content,t(h),A750c
197,A3,ICL_202B,42,0.186771435
198,A4,ICL_202C,42,0.190121425
199,A5,ICL_131,42,0.191621435
200,A6,ICL_116,42,0.225521428
201,A7,ICL_112,42,0.194171426
202,A8,ICL_163,42,0.013021425
203,A9,ICL_24,42,-0.003278575
204,B1,ICL_115,42,0.003071428
205,B10,ICL_20BA,42,-0.004328574
206,B11,ICL_20BB,42,0.012871427
207,B12,ICL_60,42,-0.00167857
208,B2,ICL_199,42,-0.000828571
209,B3,ICL_101,42,0.008321428
210,B4,ICL_139A,42,7.14E-05
211,B5,ICL_103,42,-0.002078569
212,B6,ICL_160,42,0.00997143
213,B7,ICL_129A,42,0.182321427
214,B8,ICL_129B,42,-0.007278572
215,B9,ICL_133,42,0.035271426
216,C1,ICL_144,42,-0.001678574
217,C10,ICL_184BA,42,0.188671437
218,C11,ICL_184BB,42,0.176871431
219,C12,ICL_193,42,0.194021416
220,C2,ICL_41,42,0.081071426
221,C3,ICL_114B,42,0.089321424
222,C4,ICL_208B,42,0.012921431
223,C5,ICL_117,42,0.158571419
224,C6,ICL_132,42,-0.00212857
225,C7,ICL_48,42,0.180771423
226,C8,ICL_201,42,0.143571426
227,C9,ICL_172,42,0.151071427
228,D1,ICL_186A,42,0.351671425
229,D10,BLANK,42,-0.001928571
230,D11,BLANK,42,-0.005378569
231,D12,BLANK,42,-0.008278574
232,D2,ICL_186B,42,0.00297143
233,D3,ICL_170,42,0.280871433
234,D4,ICL_179A,42,0.329221425
235,D5,ICL_179B,42,-0.000228572
236,D6,BLANK,42,-0.003478571
237,D7,BLANK,42,-0.00257857
238,D8,BLANK,42,-0.003728571
239,D9,BLANK,42,-0.006078574
240,E1,ICL_162,42,0.301971418
241,E10,ICL_118B,42,-0.002128574
242,E11,ICL_100,42,-0.001578572
243,E12,ICL_108,42,-0.002078573
244,E2,ICL_202A,42,0.200071422
245,E3,ICL_202B,42,0.194771436
246,E4,ICL_202C,42,0.202221436
247,E5,ICL_131,42,0.199171436
248,E6,ICL_116,42,0.240971428
249,E7,ICL_112,42,0.19677144
250,E8,ICL_163,42,-0.002478572
251,E9,ICL_24,42,0.001321429
252,F1,ICL_115,42,-0.00342857
253,F10,ICL_20BA,42,-0.002278573
254,F11,ICL_20BB,42,0.001921428
255,F12,ICL_60,42,-0.00277857
256,F2,ICL_199,42,-0.003128569
257,F3,ICL_101,42,-0.004428572
258,F4,ICL_139A,42,-0.00652857
259,F5,ICL_103,42,-0.003478571
260,F6,ICL_160,42,-0.003378573
261,F7,ICL_129A,42,0.17917144
262,F8,ICL_129B,42,-0.001278571
263,F9,ICL_133,42,-0.002278569
264,G1,ICL_144,42,0.002121427
265,G10,ICL_184BA,42,0.188321424
266,G11,ICL_184BB,42,0.187521425
267,G12,ICL_193,42,0.210771424
268,G2,ICL_41,42,0.093421434
269,G3,ICL_114B,42,0.09627143
270,G4,ICL_208B,42,-0.000328573
271,G5,ICL_117,42,0.045921427
272,G6,ICL_132,42,0.012471431
273,G7,ICL_48,42,0.19512142
274,G8,ICL_201,42,0.161121425
275,G9,ICL_172,42,0.146471423
276,H1,ICL_186A,42,0.314671424
277,H10,BLANK,42,-0.003278571
278,H11,BLANK,42,-0.005178573
279,H12,BLANK,42,0.044971434
280,H2,ICL_186B,42,0.006521427
281,H3,ICL_170,42,0.267821428
282,H4,ICL_179A,42,0.306671438
283,H5,ICL_179B,42,-0.00102857
284,H6,BLANK,42,-0.008078574
285,H7,BLANK,42,0.00032143
286,H8,BLANK,42,-0.001278574
287,H9,BLANK,42,0.003971429
288,A1,ICL_162,70,0.166475004
289,A10,ICL_118B,70,-0.015024999
290,A11,ICL_100,70,-0.012125002
291,A12,ICL_108,70,-0.008675003
292,A2,ICL_202A,70,0.124125002
293,A3,ICL_202B,70,0.120525001
294,A4,ICL_202C,70,0.119724995
295,A5,ICL_131,70,0.116874999
296,A6,ICL_116,70,0.123425005
297,A7,ICL_112,70,0.123074999
298,A8,ICL_163,70,0.161674997
299,A9,ICL_24,70,-0.020074999
300,B1,ICL_115,70,0.048824998
301,B10,ICL_20BA,70,-0.012875
302,B11,ICL_20BB,70,0.062074995
303,B12,ICL_60,70,-0.015175001
304,B2,ICL_199,70,-0.014775002
305,B3,ICL_101,70,0.052974997
306,B4,ICL_139A,70,-0.016175003
307,B5,ICL_103,70,-0.019925
308,B6,ICL_160,70,0.046824994
309,B7,ICL_129A,70,0.109674996
310,B8,ICL_129B,70,0.041475
311,B9,ICL_133,70,0.042625001
312,C1,ICL_144,70,-0.015425002
