,well,content,t(h),A750c,F680c
205,B10,ICL_20BA,42,0.276196432,3453.75
206,B11,ICL_20BB,42,0.279171427,3395.25
207,B12,ICL_60,42,0.274171432,3614.25
208,B2,ICL_199,42,0.27967142,3789.5
209,B3,ICL_101,42,0.280196433,3896.5
210,B4,ICL_139A,42,0.285871429,3836
211,B5,ICL_103,42,0.295746428,3871.25
212,B6,ICL_160,42,0.281946425,3755.5
213,B7,ICL_129A,42,0.276621428,3702.5
214,B8,ICL_129B,42,0.287296434,3670.5
215,B9,ICL_133,42,0.277596434,3540
216,C1,ICL_144,42,0.275796433,3933.5
217,C10,ICL_184BA,42,0.271546436,3301
218,C11,ICL_184BB,42,0.276421433,3361
219,C12,ICL_193,42,0.262746421,3469.75
220,C2,ICL_41,42,0.27254643,3877.25
221,C3,ICL_114B,42,0.26899643,3716.75
222,C4,ICL_208B,42,0.278521423,3707.5
223,C5,ICL_117,42,0.293771436,3885.5
224,C6,ICL_132,42,0.27954643,3729.25
225,C7,ICL_48,42,0.270471429,3605.25
226,C8,ICL_201,42,0.276546431,3525.25
227,C9,ICL_172,42,0.274771427,3446.25
228,D1,ICL_186A,42,0.286046428,4060.75
229,D10,Chlamy,42,0.037446429,1261.75
230,D11,Chlamy,42,0.056571429,1187.75
231,D12,Chlamy,42,0.037196432,1144.5
232,D2,ICL_186B,42,0.286746425,3969.75
233,D3,ICL_170,42,0.283696433,3930.5
234,D4,ICL_179A,42,0.291096431,3899.5
235,D5,ICL_179B,42,0.294871432,3880
236,D6,Chlamy,42,0.03087143,1130.5
237,D7,Chlamy,42,0.041471427,1160
238,D8,Chlamy,42,0.035971427,1174.5
239,D9,Chlamy,42,0.039496427,1149
240,E1,ICL_162,42,0.281646428,4009.25
241,E10,ICL_118B,42,0.279521433,3386.25
242,E11,ICL_100,42,0.266596426,3426.75
243,E12,ICL_108,42,0.265346435,3331.75
244,E2,ICL_202A,42,0.282471423,4028.75
245,E3,ICL_202B,42,0.275046428,3858.5
246,E4,ICL_202C,42,0.272996423,3692.25
247,E5,ICL_131,42,0.287946438,3692
248,E6,ICL_116,42,0.274196428,3619
249,E7,ICL_112,42,0.268846427,3370
250,E8,ICL_163,42,0.27537143,3475.75
251,E9,ICL_24,42,0.246346426,3201.75
252,F1,ICL_115,42,0.262796429,3824.75
253,F10,ICL_20BA,42,0.258696419,3327.75
254,F11,ICL_20BB,42,0.253196431,3238.25
255,F12,ICL_60,42,0.252496434,3338.25
256,F2,ICL_199,42,0.263571431,3730.25
257,F3,ICL_101,42,0.257646431,3672.25
258,F4,ICL_139A,42,0.263196428,3537.25
259,F5,ICL_103,42,0.279446428,3584.5
260,F6,ICL_160,42,0.265171428,3444
261,F7,ICL_129A,42,0.260571432,3287.25
262,F8,ICL_129B,42,0.267596428,3369.75
263,F9,ICL_133,42,0.256446433,3271.75
264,G1,ICL_144,42,0.273746428,3886.25
265,G10,ICL_184BA,42,0.231046424,2867.25
266,G11,ICL_184BB,42,0.285321434,2637.75
267,G12,ICL_193,42,0.322721434,2814.75
268,G2,ICL_41,42,0.278246437,3812.5
269,G3,ICL_114B,42,0.269846429,3788
270,G4,ICL_208B,42,0.274396432,3715
271,G5,ICL_117,42,0.282946427,3720.75
272,G6,ICL_132,42,0.27694643,3660.25
273,G7,ICL_48,42,0.265796428,3496.5
274,G8,ICL_201,42,0.276171428,3567.25
275,G9,ICL_172,42,0.265546431,3475.75
276,H1,ICL_186A,42,0.262271431,3670
277,H10,Chlamy,42,0.063496427,1242.5
278,H11,Chlamy,42,0.084946425,1241.5
279,H12,Chlamy,42,0.110496425,1275.25
280,H2,ICL_186B,42,0.265571435,3820
281,H3,ICL_170,42,0.25292143,3680.75
282,H4,ICL_179A,42,0.271996421,3720.25
283,H5,ICL_179B,42,0.284996425,3740.5
284,H6,Chlamy,42,0.06257143,1624.5
285,H7,Chlamy,42,0.053896424,1277.5
286,H8,Chlamy,42,0.07579643,1224.75
287,H9,Chlamy,42,0.040821427,1268.25
288,A1,ICL_162,70,0.188049993,4196.75
289,A10,ICL_118B,70,0.200299999,4080.75
290,A11,ICL_100,70,0.210424995,4431.75
291,A12,ICL_108,70,0.205349995,4080.25
292,A2,ICL_202A,70,0.192024997,4080.25
293,A3,ICL_202B,70,0.190350002,4177.5
294,A4,ICL_202C,70,0.195124997,4112.5
295,A5,ICL_131,70,0.206224999,4276.75
296,A6,ICL_116,70,0.197899996,4163.75
297,A7,ICL_112,70,0.192875004,4012.75
298,A8,ICL_163,70,0.207449993,4304.5
299,A9,ICL_24,70,0.205350003,4202
300,B1,ICL_115,70,0.206624998,4341
301,B10,ICL_20BA,70,0.219274996,4368.5
302,B11,ICL_20BB,70,0.220225005,4492.75
303,B12,ICL_60,70,0.218599996,4185.25
304,B2,ICL_199,70,0.202525003,4170.75
305,B3,ICL_101,70,0.197075008,4064.75
306,B4,ICL_139A,70,0.204224995,4247.75
307,B5,ICL_103,70,0.2175,4304.75
308,B6,ICL_160,70,0.200924998,4186
309,B7,ICL_129A,70,0.203675,4155.25
310,B8,ICL_129B,70,0.216899997,4157.5
311,B9,ICL_133,70,0.205124995,4031.75
312,C1,ICL_144,70,0.198674998,4229.25
313,C10,ICL_184BA,70,0.205399996,4215
314,C11,ICL_184BB,70,0.216874993,4249.25
315,C12,ICL_193,70,0.22015,4307.5
316,C2,ICL_41,70,0.203424996,4164
317,C3,ICL_114B,70,0.1933,4135.5
318,C4,ICL_208B,70,0.199399999,4186.5
319,C5,ICL_117,70,0.212074993,4335.25
320,C6,ICL_132,70,0.200249998,4185.75
321,C7,ICL_48,70,0.198949999,4017.5
322,C8,ICL_201,70,0.207150003,4228.5
323,C9,ICL_172,70,0.208225003,4186.25
324,D1,ICL_186A,70,0.208249999,4297.25
325,D10,Chlamy,70,0.199274993,5517
326,D11,Chlamy,70,0.195899999,5361.25
327,D12,Chlamy,70,0.196025005,5559.5
328,D2,ICL_186B,70,0.206174998,4233.5
329,D3,ICL_170,70,0.201975009,4138.25
330,D4,ICL_179A,70,0.210649995,4417
331,D5,ICL_179B,70,0.214649996,4351
332,D6,Chlamy,70,0.193125,5432.25
333,D7,Chlamy,70,0.210199995,5560.75
334,D8,Chlamy,70,0.199649995,5366
335,D9,Chlamy,70,0.197274989,5335.25
336,E1,ICL_162,70,0.199524997,4226.75
337,E10,ICL_118B,70,0.212674996,4245.75
338,E11,ICL_100,70,0.212350002,4182.75
339,E12,ICL_108,70,0.218799999,4268
340,E2,ICL_202A,70,0.207100002,4286
341,E3,ICL_202B,70,0.205299994,4204.5
342,E4,ICL_202C,70,0.193174994,4112.5
343,E5,ICL_131,70,0.214800006,4337
344,E6,ICL_116,70,0.196900001,4149.5
345,E7,ICL_112,70,0.202975003,4222.75
346,E8,ICL_163,70,0.207824996,4296
347,E9,ICL_24,70,0.184600001,4181.75
348,F1,ICL_115,70,0.205775006,4367.25
349,F10,ICL_20BA,70,0.196799999,4024.75
350,F11,ICL_20BB,70,0.2017,4134
351,F12,ICL_60,70,0.213524996,4324
352,F2,ICL_199,70,0.209624997,4401.5
353,F3,ICL_101,70,0.191699995,4108.75
354,F4,ICL_139A,70,0.196149996,4182.75
355,F5,ICL_103,70,0.207175,4345.5
356,F6,ICL_160,70,0.195174998,4184.75
357,F7,ICL_129A,70,0.196124992,4108
358,F8,ICL_129B,70,0.197899996,4187.5
359,F9,ICL_133,70,0.194925009,4052.25
360,G1,ICL_144,70,0.215075007,4523.75
361,G10,ICL_184BA,70,0.153749993,3066.5
362,G11,ICL_184BB,70,0.228774993,3121
363,G12,ICL_193,70,0.237800008,3325.75
364,G2,ICL_41,70,0.225124991,4589.25
365,G3,ICL_114B,70,0.200725002,4348
366,G4,ICL_208B,70,0.209650001,4414.5
367,G5,ICL_117,70,0.219675003,4507.25
368,G6,ICL_132,70,0.204725003,4215.75
369,G7,ICL_48,70,0.207025005,4279.5
370,G8,ICL_201,70,0.210375002,4145
371,G9,ICL_172,70,0.199874996,4158
372,H1,ICL_186A,70,0.209200001,4901
373,H10,Chlamy,70,0.195850006,5688
374,H11,Chlamy,70,0.188749997,5619.5
375,H12,Chlamy,70,0.186624995,5719.75
376,H2,ICL_186B,70,0.222675002,4617
377,H3,ICL_170,70,0.206700003,4532.75
378,H4,ICL_179A,70,0.223674996,4518.75
379,H5,ICL_179B,70,0.24397499,4876.75
380,H6,Chlamy,70,0.21232499,5688
381,H7,Chlamy,70,0.183474994,5621
382,H8,Chlamy,70,0.190099998,5606
383,H9,Chlamy,70,0.191324992,5630
384,A1,ICL_162,93,0.17796071,5772
385,A10,ICL_118B,93,0.192085714,5757.75
386,A11,ICL_100,93,0.198535712,6329.75
387,A12,ICL_108,93,0.186260716,5789.5
388,A2,ICL_202A,93,0.182785721,5810.25
389,A3,ICL_202B,93,0.180860714,5966
390,A4,ICL_202C,93,0.188260706,5934.25
391,A5,ICL_131,93,0.189560713,5914
392,A6,ICL_116,93,0.20518572,6184.5
393,A7,ICL_112,93,0.198460714,5999
394,A8,ICL_163,93,0.200110712,6252.5
395,A9,ICL_24,93,0.203385712,5987.25
396,B1,ICL_115,93,0.193110713,5993.75
397,B10,ICL_20BA,93,0.201635712,5979.5
398,B11,ICL_20BB,93,0.20328571,6050
