Well	Mean	StDev	0;2	1;2	2;2	2;1	1;1	0;1	0;0	1;0	2;0	wavelength	mode
D12	0.48919999599456787	0.11010000109672546	0.6409000158309937	0.4681999981403351	0.6862000226974487	0.44130000472068787	0.3822000026702881	0.3831000030040741	0.49639999866485596	0.3935000002384186	0.5109999775886536	600	Absorbance
E1	1.0982999801635742	0.07150000333786011	1.2168999910354614	1.0729000568389893	1.1663000583648682	1.0369000434875488	1.010200023651123	1.0427000522613525	1.166100025177002	1.0543999671936035	1.118399977684021	600	Absorbance
E2	1.0508999824523926	0.07599999755620956	1.166599988937378	1.0217000246047974	1.1378999948501587	0.991100013256073	0.9544000029563904	0.9847999811172485	1.114799976348877	1.0053999423980713	1.0815000534057617	600	Absorbance
E3	1.007099986076355	0.07850000262260437	1.1305999755859375	0.982699990272522	1.0987999439239502	0.9531999826431274	0.9106000065803528	0.9429000020027161	1.073699951171875	0.9452999830245972	1.0264999866485596	600	Absorbance
E4	0.9747999906539917	0.0820000022649765	1.1013000011444092	0.9503999948501587	1.0780999660491943	0.9154999852180481	0.8773000240325928	0.9003000259399414	1.0298000574111938	0.913100004196167	1.007699966430664	600	Absorbance
E5	0.9390000104904175	0.08879999816417694	1.083899974822998	0.9215999841690063	1.0527000427246094	0.8716999888420105	0.8324000239372253	0.8676000237464905	0.9883999824523926	0.8698999881744385	0.9629999995231628	600	Absorbance
E6	0.8984000086784363	0.09149999916553497	1.0206999778747559	0.8747000098228455	1.0194000005722046	0.8201000094413757	0.781499981880188	0.8134999871253967	0.9682000279426575	0.8443999886512756	0.9430000185966492	600	Absorbance
E7	0.84170001745224	0.09179999679327011	0.9758999943733215	0.8151000142097473	0.9675999879837036	0.7767000198364258	0.7303000092506409	0.7633000016212463	0.8924999833106995	0.7677000164985657	0.8863000273704529	600	Absorbance
E8	0.78329998254776	0.09300000220537186	0.9074000120162964	0.753600001335144	0.9243999719619751	0.7249000072479248	0.6730999946594238	0.6955999732017517	0.8303999900817871	0.7099000215530396	0.8302000164985657	600	Absorbance
E9	0.7197999954223633	0.09830000251531601	0.8579999804496765	0.6873999834060669	0.8763999938964844	0.6651999950408936	0.6115000247955322	0.6266999840736389	0.7590000033378601	0.6391000151634216	0.7549999952316284	600	Absorbance
