Filename_full	Sample_concentration	cc_sampling_time	Filename	type_of_cell
./data/JF_chlamy_calib_exp_E4_03.#m4	803111045.124952	2019-09-09 20:14:55	JF_chlamy_calib_exp_E4_03.#m4	b
./data/JF_chlamy_calib_exp_E4_03.#m4	4410290.2764880005	2019-09-09 20:14:55	JF_chlamy_calib_exp_E4_03.#m4	c
./data/JF_chlamy_calib_exp_E4_04.#m4	800618447.1564718	2019-09-09 20:15:25	JF_chlamy_calib_exp_E4_04.#m4	b
./data/JF_chlamy_calib_exp_E4_04.#m4	4418330.915096	2019-09-09 20:15:25	JF_chlamy_calib_exp_E4_04.#m4	c
./data/JF_chlamy_calib_exp_E9_01.#m4	709292873.8468081	2019-09-09 19:49:03	JF_chlamy_calib_exp_E9_01.#m4	b
./data/JF_chlamy_calib_exp_E9_01.#m4	1551843.251344	2019-09-09 19:49:03	JF_chlamy_calib_exp_E9_01.#m4	c
./data/JF_chlamy_calib_exp_E9_02.#m4	776182946.42676	2019-09-09 19:49:32	JF_chlamy_calib_exp_E9_02.#m4	b
./data/JF_chlamy_calib_exp_E9_02.#m4	1624208.9988159998	2019-09-09 19:49:32	JF_chlamy_calib_exp_E9_02.#m4	c
./data/JF_chlamy_calib_exp_E9_03.#m4	784408519.722744	2019-09-09 19:50:02	JF_chlamy_calib_exp_E9_03.#m4	b
./data/JF_chlamy_calib_exp_E9_03.#m4	1776981.132368	2019-09-09 19:50:02	JF_chlamy_calib_exp_E9_03.#m4	c
./data/JF_chlamy_calib_exp_E9_04.#m4	781099796.935552	2019-09-09 19:50:32	JF_chlamy_calib_exp_E9_04.#m4	b
./data/JF_chlamy_calib_exp_E9_04.#m4	1740798.258632	2019-09-09 19:50:32	JF_chlamy_calib_exp_E9_04.#m4	c
./data/JF_chlamy_calib_exp_F11_01.#m4	620106110.406872	2019-09-09 19:46:02	JF_chlamy_calib_exp_F11_01.#m4	b
./data/JF_chlamy_calib_exp_F11_01.#m4	1169912.917464	2019-09-09 19:46:02	JF_chlamy_calib_exp_F11_01.#m4	c
./data/JF_chlamy_calib_exp_F11_02.#m4	660751538.5703119	2019-09-09 19:46:31	JF_chlamy_calib_exp_F11_02.#m4	b
./data/JF_chlamy_calib_exp_F11_02.#m4	1258359.942152	2019-09-09 19:46:31	JF_chlamy_calib_exp_F11_02.#m4	c
./data/JF_chlamy_calib_exp_F11_03.#m4	667955950.76308	2019-09-09 19:47:00	JF_chlamy_calib_exp_F11_03.#m4	b
./data/JF_chlamy_calib_exp_F11_03.#m4	1246298.98424	2019-09-09 19:47:00	JF_chlamy_calib_exp_F11_03.#m4	c
./data/JF_chlamy_calib_exp_F11_04.#m4	669668606.7865839	2019-09-09 19:47:30	JF_chlamy_calib_exp_F11_04.#m4	b
./data/JF_chlamy_calib_exp_F11_04.#m4	1194034.833288	2019-09-09 19:47:30	JF_chlamy_calib_exp_F11_04.#m4	c
./data/JF_chlamy_calib_exp_G12_01.#m4	431537053.772056	2019-09-09 19:42:56	JF_chlamy_calib_exp_G12_01.#m4	b
./data/JF_chlamy_calib_exp_G12_01.#m4	253280.116152	2019-09-09 19:42:56	JF_chlamy_calib_exp_G12_01.#m4	c
./data/JF_chlamy_calib_exp_G12_02.#m4	444381973.948336	2019-09-09 19:43:25	JF_chlamy_calib_exp_G12_02.#m4	b
./data/JF_chlamy_calib_exp_G12_02.#m4	213076.923112	2019-09-09 19:43:25	JF_chlamy_calib_exp_G12_02.#m4	c
./data/JF_chlamy_calib_exp_G12_03.#m4	451972336.794288	2019-09-09 19:43:54	JF_chlamy_calib_exp_G12_03.#m4	b
./data/JF_chlamy_calib_exp_G12_03.#m4	281422.35128	2019-09-09 19:43:54	JF_chlamy_calib_exp_G12_03.#m4	c
./data/JF_chlamy_calib_exp_G12_04.#m4	456414789.62520796	2019-09-09 19:44:24	JF_chlamy_calib_exp_G12_04.#m4	b
./data/JF_chlamy_calib_exp_G12_04.#m4	269361.393368	2019-09-09 19:44:24	JF_chlamy_calib_exp_G12_04.#m4	c
./data/JF_chlamy_calib_exp_G6_01.#m4	217101262.735304	2019-09-09 20:08:08	JF_chlamy_calib_exp_G6_01.#m4	b
./data/JF_chlamy_calib_exp_G6_01.#m4	892510.885488	2019-09-09 20:08:08	JF_chlamy_calib_exp_G6_01.#m4	c
./data/JF_chlamy_calib_exp_G6_02.#m4	241822206.1356	2019-09-09 20:08:37	JF_chlamy_calib_exp_G6_02.#m4	b
./data/JF_chlamy_calib_exp_G6_02.#m4	892510.885488	2019-09-09 20:08:37	JF_chlamy_calib_exp_G6_02.#m4	c
./data/JF_chlamy_calib_exp_G6_03.#m4	246393309.184248	2019-09-09 20:09:07	JF_chlamy_calib_exp_G6_03.#m4	b
./data/JF_chlamy_calib_exp_G6_03.#m4	1109608.127904	2019-09-09 20:09:07	JF_chlamy_calib_exp_G6_03.#m4	c
./data/JF_chlamy_calib_exp_G6_04.#m4	247957213.39350402	2019-09-09 20:09:36	JF_chlamy_calib_exp_G6_04.#m4	b
./data/JF_chlamy_calib_exp_G6_04.#m4	1137750.3630320001	2019-09-09 20:09:36	JF_chlamy_calib_exp_G6_04.#m4	c
./data/JF_chlamy_calib_exp_H2_01.#m4	27736182.878295995	2019-09-09 20:20:26	JF_chlamy_calib_exp_H2_01.#m4	b
./data/JF_chlamy_calib_exp_H2_01.#m4	2428272.859616	2019-09-09 20:20:26	JF_chlamy_calib_exp_H2_01.#m4	c
./data/JF_chlamy_calib_exp_H2_02.#m4	17009970.975224	2019-09-09 20:20:55	JF_chlamy_calib_exp_H2_02.#m4	b
./data/JF_chlamy_calib_exp_H2_02.#m4	2753918.7232399997	2019-09-09 20:20:55	JF_chlamy_calib_exp_H2_02.#m4	c
./data/JF_chlamy_calib_exp_H2_03.#m4	13206748.91364	2019-09-09 20:21:24	JF_chlamy_calib_exp_H2_03.#m4	b
./data/JF_chlamy_calib_exp_H2_03.#m4	2745878.084632	2019-09-09 20:21:24	JF_chlamy_calib_exp_H2_03.#m4	c
./data/JF_chlamy_calib_exp_H2_04.#m4	12664005.807599999	2019-09-09 20:21:54	JF_chlamy_calib_exp_H2_04.#m4	b
./data/JF_chlamy_calib_exp_H2_04.#m4	2774020.31976	2019-09-09 20:21:54	JF_chlamy_calib_exp_H2_04.#m4	c
