well,row,col,B_lbl,C_lbl,B_cc,C_cc,A600,A600_sdv,A680,A680_sdv,A720,A720_sdv,A750,A750_sdv,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750
A11,A,11,0.4,0.09,779407242.5,800365.167,0.7778999805450441,0.09769999980926514,0.7957999706268309,0.0982000008225441,0.6661000251770021,0.09380000084638596,0.6449000239372253,0.09709999710321426,0.8066999912261963,0.7692000269889832,0.7375000119209291,0.7148000001907349,0.6976000070571899,0.6863999962806702,0.6736000180244446,0.6653000116348267,0.659600019454956,0.6524999737739563,0.6450999975204468,0.6377000212669373,0.6322000026702881,0.6233000159263611,0.6187999844551086,0.6302000284194946,0.6324999928474426,0.6491000056266785,0.652400016784668,0.611299991607666,0.5619999766349792,0.5425000190734863,0.5313000082969666,0.5218999981880188,0.5157999992370605,0.5076000094413757
A12,A,12,0.4,0.0,779407242.5,0.0,0.6592000126838684,0.10130000114440918,0.5911999940872192,0.1014999970793724,0.5647000074386597,0.10090000182390213,0.5515000224113464,0.10289999842643738,0.6266000270843506,0.6150000095367432,0.6043999791145325,0.5942000150680542,0.5838000178337097,0.5752999782562256,0.5647000074386597,0.5555999875068665,0.5472999811172485,0.5374000072479248,0.5285000205039978,0.519599974155426,0.5117999911308289,0.5030000209808351,0.4948999881744385,0.487500011920929,0.4794000089168549,0.4718999862670898,0.4639999866485596,0.4571999907493591,0.4498000144958496,0.444599986076355,0.4393999874591827,0.433899998664856,0.4302999973297119,0.4241999983787537
B1,B,1,0.35,0.5,681981337.2,4446473.15,1.229099988937378,0.07400000095367433,1.628100037574768,0.07429999858140945,1.0190999507904053,0.07249999791383742,0.9811000227928162,0.0763000026345253,1.6028000116348269,1.4249999523162842,1.278499960899353,1.1920000314712524,1.145699977874756,1.1232999563217163,1.1051000356674194,1.108299970626831,1.1196000576019287,1.129899978637695,1.1354000568389893,1.1403000354766846,1.14900004863739,1.1437000036239624,1.163599967956543,1.2756999731063845,1.33650004863739,1.4742000102996826,1.5281000137329102,1.291599988937378,1.0290000438690186,0.9460999965667723,0.9110000133514404,0.8884999752044678,0.8770999908447266,0.8641999959945679
B2,B,2,0.35,0.46,681981337.2,4081862.352,1.177899956703186,0.07559999823570251,1.5348999500274658,0.07280000299215318,0.9821000099182128,0.07150000333786011,0.9472000002861024,0.07599999755620956,1.517799973487854,1.3545999526977541,1.2217999696731567,1.1420999765396118,1.0986000299453735,1.0771000385284424,1.0591000318527222,1.0614999532699585,1.0707999467849731,1.0789999961853027,1.0822000503540041,1.0853999853134155,1.0924999713897705,1.0871000289916992,1.1038000583648682,1.2045999765396118,1.2592999935150146,1.3844000101089478,1.4349000453948977,1.2213000059127808,0.9822999835014344,0.906000018119812,0.8730999827384949,0.8518999814987183,0.8413000106811523,0.828499972820282
B3,B,3,0.35,0.42,681981337.2,3717251.5539999995,1.1251000165939329,0.07919999957084656,1.4485000371932983,0.07590000331401825,0.9452000260353088,0.0746999979019165,0.911899983882904,0.07840000092983246,1.4296000003814695,1.281000018119812,1.159500002861023,1.0857000350952148,1.0453000068664549,1.0247000455856323,1.0072000026702879,1.0078999996185305,1.0157999992370603,1.0226000547409058,1.0247000455856323,1.0270999670028689,1.0324000120162964,1.0269999504089355,1.0407999753952026,1.131500005722046,1.1847000122070312,1.2934999465942385,1.3384000062942505,1.1565999984741209,0.9293000102043152,0.8589000105857849,0.8277999758720398,0.8080000281333923,0.7973999977111816,0.785099983215332
B4,B,4,0.35,0.38,681981337.2,3352640.755,1.0857000350952148,0.0812000036239624,1.3806999921798706,0.08009999990463257,0.9172000288963318,0.07750000059604645,0.8859000205993652,0.08259999752044678,1.3532999753952026,1.2186000347137451,1.1085000038146973,1.0405999422073364,1.0025000572204592,0.9829999804496764,0.9663000106811525,0.9656000137329102,0.972000002861023,0.9761000275611876,0.977299988269806,0.9787999987602234,0.9825000166893004,0.9761000275611876,0.987600028514862,1.0693999528884888,1.1131999492645264,1.215399980545044,1.257699966430664,1.0845999717712402,0.8869000077247621,0.8222000002861023,0.7935000061988831,0.7742999792098999,0.7644000053405762,0.7526000142097473
B5,B,5,0.35,0.34,681981337.2,2988029.957,1.0325000286102295,0.08560000360012054,1.2898999452590942,0.08510000258684157,0.8758000135421753,0.0820000022649765,0.8457000255584717,0.08709999918937683,1.270300030708313,1.149399995803833,1.0500999689102173,0.9890000224113464,0.9541000127792358,0.9362999796867372,0.9194999933242798,0.9179000258445741,0.9221000075340272,0.9247999787330629,0.9248999953269958,0.9241999983787536,0.9265999794006348,0.9197999835014344,0.9287999868392944,1.0006999969482422,1.038599967956543,1.1297999620437622,1.1677000522613523,1.0156999826431274,0.8378999829292297,0.7796000242233276,0.7533000111579895,0.73580002784729,0.7261999845504761,0.7152000069618225
B6,B,6,0.35,0.3,681981337.2,2623419.159,0.9941999912261964,0.08699999749660492,1.2184000015258791,0.08579999953508377,0.8464999794960022,0.08349999785423279,0.8184000253677368,0.08749999850988388,1.1916999816894531,1.0852999687194824,0.9973999857902528,0.942200005054474,0.9100000262260436,0.8925999999046326,0.8766000270843506,0.8733000159263611,0.8758000135421753,0.8773000240325928,0.8759999871253967,0.8748000264167786,0.8761000037193298,0.8687999844551086,0.8752999901771545,0.9369999766349792,0.972599983215332,1.048699975013733,1.0814000368118286,0.9559999704360962,0.7928000092506409,0.741100013256073,0.7170000076293945,0.7005000114440918,0.6919000148773193,0.6815000176429749
B7,B,7,0.35,0.25,681981337.2,2258808.36,0.946399986743927,0.09380000084638596,1.1323000192642212,0.09130000323057176,0.8093000054359436,0.08879999816417694,0.7825000286102295,0.093299999833107,1.1131000518798828,1.0196000337600708,0.942300021648407,0.8932999968528748,0.8637999892234802,0.8475000262260437,0.8317999839782715,0.8274999856948853,0.8285999894142151,0.8281000256538391,0.8256999850273132,0.8228999972343445,0.8224999904632568,0.8151999711990356,0.8194000124931335,0.8723999857902527,0.9016000032424928,0.9672999978065492,0.9958000183105468,0.8877999782562256,0.7457000017166138,0.6998999714851379,0.6780999898910522,0.6628000140190125,0.6545000076293945,0.64410001039505
B8,B,8,0.35,0.21,681981337.2,1894197.562,0.8974000215530396,0.09210000187158583,1.0420999526977541,0.09130000323057176,0.7669000029563904,0.08789999783039093,0.7439000010490417,0.09220000356435776,1.0328999757766724,0.9538000226020812,0.8881000280380249,0.84579998254776,0.8194000124931335,0.8044999837875366,0.7892000079154968,0.7838000059127808,0.7827000021934509,0.7803000211715698,0.7767999768257141,0.7730000019073486,0.7712000012397766,0.7637000083923341,0.7656999826431274,0.8079000115394592,0.8288999795913696,0.8840000033378601,0.906499981880188,0.8098000288009644,0.6959999799728394,0.6567999720573425,0.6373000144958496,0.6237999796867371,0.6161999702453613,0.6064000129699707
