time,Bv1,Cv1,Bv2,Cv2,Bv3,Cv3,Bv4,Cv4,Bv5,Cv5,Bv6,Cv6,Bv7,Cv7,Bv8,Cv8
4/18/2019 15:20,0.098893378,0.041919211,0.130799542,0.036001022,0.113028485,0.02699356,0.11914501,0.018386492,0.113171502,0.040123366,0.004285555,0.026592389,0.020880638,0.029264879,-0.001508185,0.035143646
4/18/2019 16:20,0.129122757,0.038750553,0.142805075,0.043411788,0.144294354,0.031482879,0.142335109,0.022694519,0.122600861,0.048745895,0.004733109,0.029777113,0.007489398,0.034335972,-0.005184334,0.037435054
4/18/2019 16:40,0.136320294,0.041981168,0.154720268,0.040904437,0.143800429,0.033769918,0.153945112,0.023999657,0.138799335,0.049773873,0.003766725,0.030451466,0.008689954,0.036269621,-0.008455766,0.041692845
4/18/2019 17:00,0.140253797,0.043973576,0.150940795,0.04306357,0.152931899,0.033164954,0.157420409,0.025085024,0.150027165,0.04953416,0.004113781,0.03101168,0.009390427,0.039334656,-0.006643533,0.042642493
4/18/2019 17:20,0.141298536,0.045761289,0.150416048,0.044381074,0.154170089,0.03540051,0.164221743,0.026875746,0.152072722,0.05198856,0.004432487,0.031927913,0.019002402,0.035309491,-0.000503178,0.041193499
4/18/2019 17:40,0.14033331,0.046759167,0.152260834,0.044691879,0.157132209,0.035260893,0.167020259,0.028189678,0.154815327,0.054032098,0.003934962,0.032844433,0.015021636,0.038108116,-0.007029009,0.045092194
4/18/2019 18:00,0.137676944,0.046738719,0.148124738,0.044716984,0.158416393,0.036485293,0.172074813,0.027486476,0.156510231,0.052734964,0.003858555,0.034098042,0.011436375,0.040774744,-0.006281065,0.046477093
4/18/2019 18:20,0.137574369,0.046404778,0.151325129,0.044599374,0.157572,0.037495872,0.177108182,0.027844781,0.156162411,0.052761332,0.00317992,0.035196011,0.015585395,0.039695049,-0.007333215,0.047949732
4/18/2019 18:40,0.132001227,0.04905698,0.149651634,0.045053763,0.158027192,0.03750318,0.17479616,0.029262597,0.155127072,0.054349712,0.002614002,0.036048469,0.009341779,0.043217707,-0.007968525,0.049106631
4/18/2019 19:00,0.134562903,0.048670356,0.144690192,0.046531064,0.156667748,0.039410611,0.174062448,0.028991048,0.153526085,0.055145586,0.002447996,0.037035696,0.012246294,0.042974562,-0.008795473,0.050967787
4/18/2019 19:20,0.133589255,0.049475679,0.144156186,0.046199905,0.157241618,0.038942402,0.178057619,0.028755929,0.149956888,0.05571713,0.002339106,0.037917052,0.019391238,0.040206254,-0.004034342,0.049915988
4/18/2019 19:40,0.13364264,0.047680854,0.143009073,0.047121615,0.153339084,0.04020682,0.172943417,0.031242342,0.153554371,0.055524759,0.002371925,0.038325971,0.017071117,0.042318229,-0.004222142,0.050803872
4/18/2019 20:00,0.129734152,0.047254963,0.138363916,0.047933968,0.15249276,0.039624103,0.17306434,0.029953758,0.14895947,0.056083617,0.002681061,0.039118711,0.019173506,0.042165256,-0.004765262,0.052136942
4/18/2019 20:20,0.134444535,0.043830438,0.139576711,0.047520536,0.153825429,0.039851748,0.167802533,0.03146318,0.146570062,0.056267266,0.001658969,0.040828261,0.018849758,0.043102635,-0.005823597,0.05420378
4/18/2019 20:40,0.120830651,0.045736614,0.138443428,0.046341933,0.153990702,0.038898303,0.171267071,0.030241836,0.145041586,0.05641959,0.001744984,0.041327056,0.018602656,0.04410658,-0.006980516,0.055502243
4/18/2019 21:00,0.122849653,0.045399298,0.134882913,0.047404174,0.150413919,0.04044443,0.166537212,0.031548384,0.147859359,0.054784964,0.001191796,0.042047608,0.018006641,0.045166903,-0.006484296,0.056442931
4/18/2019 21:20,0.114488197,0.045161073,0.133663458,0.046502996,0.148248904,0.040489613,0.164558038,0.031264397,0.145311191,0.054985537,0.000877427,0.043344366,0.01858715,0.045797566,-0.007475589,0.058007386
4/18/2019 21:40,0.108791787,0.047860006,0.130984371,0.046675587,0.145963922,0.04042715,0.162071141,0.032330153,0.142343255,0.056355076,0.000938176,0.043627013,0.013749064,0.048881503,-0.010970751,0.06030894
4/18/2019 22:00,0.11717261,0.044493405,0.129046845,0.046402493,0.144272725,0.041395158,0.159269109,0.032654587,0.143037381,0.054804806,0.000382929,0.045105695,0.016795695,0.048682299,-0.014121345,0.063756959
4/18/2019 22:20,0.10355076,0.049359153,0.126867767,0.046134222,0.143029412,0.041180038,0.159666688,0.033335869,0.140337719,0.055473907,0.000997216,0.04530906,0.018349825,0.048527088,-0.008713828,0.062243735
4/18/2019 22:40,0.107797324,0.046341815,0.125363906,0.046514137,0.14246928,0.042046501,0.155383304,0.032629478,0.139715048,0.055676891,8.25E-05,0.046583509,0.018204486,0.049387898,-0.012221135,0.064705334
4/18/2019 23:00,0.09899191,0.048210918,0.122472437,0.046021584,0.140989184,0.041663867,0.154822136,0.032221859,0.135548771,0.055665717,-0.000215776,0.047810933,0.016201817,0.051623278,-0.012366845,0.065946984
4/18/2019 23:20,0.096683224,0.045695787,0.120030049,0.046244101,0.137275582,0.042134893,0.157505731,0.030928302,0.13773388,0.056052654,-0.000548987,0.049188393,0.018234909,0.051548364,-0.012631763,0.06785904
4/18/2019 23:40,0.09273804,0.047539177,0.119333659,0.04553185,0.139696339,0.042491159,0.154189373,0.032111704,0.137293335,0.055596448,-0.001065848,0.049985561,0.019623318,0.051642665,-0.012053577,0.068421278
4/19/2019 0:00,0.092021291,0.046462816,0.117726481,0.045214463,0.139404895,0.042454859,0.150199246,0.032846829,0.134819127,0.055561142,-0.001051447,0.050913849,0.018176357,0.053540853,-0.013685593,0.070973556
4/19/2019 0:20,0.086338484,0.050556444,0.114346035,0.044907244,0.139950196,0.042467041,0.147154343,0.033787018,0.136941993,0.055043237,-0.001446174,0.051872589,0.017422236,0.05532931,-0.014990064,0.073140057
4/19/2019 0:40,0.087261867,0.049124107,0.11379775,0.044680455,0.136629554,0.043038483,0.150171736,0.032386468,0.132070457,0.056418543,-0.000829221,0.052668586,0.018783953,0.055440021,-0.015361757,0.074124363
4/19/2019 1:00,0.084355382,0.047748891,0.111838775,0.043928547,0.136827926,0.042732314,0.147701009,0.032968954,0.134064307,0.055199542,-0.00188299,0.054397499,0.020443416,0.05584515,-0.016197339,0.076626314
4/19/2019 1:20,0.09225531,0.043074772,0.111804924,0.043112761,0.135094983,0.043554371,0.149428946,0.031974677,0.133119662,0.055754768,-0.001450935,0.055102966,0.020456085,0.056863963,-0.012326961,0.076332374
4/19/2019 1:40,0.088019072,0.045417157,0.10909729,0.043217958,0.134559748,0.043278377,0.148323241,0.031772459,0.132042354,0.056802348,-0.001526961,0.05618312,0.020839008,0.057800357,-0.01257644,0.077573505
4/19/2019 2:00,0.083231911,0.045393627,0.107856629,0.042254464,0.135163324,0.043598534,0.1442347,0.032918474,0.132802662,0.056050504,-0.000207702,0.056713718,0.018920448,0.059992588,-0.014246611,0.079950394
4/19/2019 2:20,0.084395319,0.043819463,0.107058729,0.041396511,0.133060966,0.044183592,0.143003183,0.033424451,0.130429076,0.055985943,6.26E-05,0.057810688,0.018999246,0.061496326,-0.013983027,0.0815234
4/19/2019 2:40,0.083409314,0.044434498,0.105205878,0.041574757,0.13341267,0.044040179,0.14111484,0.032226564,0.134220072,0.0552623,-0.000630313,0.058948302,0.022666311,0.060944425,-0.013475713,0.082264087
4/19/2019 3:00,0.089019289,0.040969555,0.104882009,0.040155716,0.13336748,0.044164538,0.141081402,0.032021657,0.131304148,0.055396672,-0.000157489,0.059891407,0.023271997,0.061669395,-0.013133117,0.083640037
4/19/2019 3:20,0.089096109,0.039866022,0.103282303,0.039348637,0.132853028,0.043841958,0.1403157,0.031686388,0.132782071,0.054596238,0.000613609,0.06037851,0.022500782,0.062905183,-0.011674435,0.084260355
4/19/2019 3:40,0.087035244,0.040158429,0.103392204,0.039006253,0.135182308,0.042877893,0.139115625,0.032167246,0.132695622,0.054187873,0.000323946,0.061482462,0.02416339,0.063584236,-0.013553075,0.086373057
4/19/2019 4:00,0.08589467,0.039279364,0.100853403,0.038306404,0.133076737,0.043413964,0.137687926,0.031365053,0.131662789,0.053793081,0.001373242,0.061464457,0.024528165,0.064736802,-0.01262661,0.087485847
4/19/2019 4:20,0.078571942,0.041721124,0.100791065,0.036936665,0.134321531,0.043298679,0.137427079,0.031058634,0.131505627,0.053780715,0.000756187,0.062779074,0.025832462,0.064964725,-0.011325411,0.087803334
4/19/2019 4:40,0.08262772,0.038979615,0.099619845,0.036768546,0.131205586,0.043183812,0.138232005,0.029941209,0.13015671,0.053859729,0.001162668,0.063411003,0.025611039,0.066095528,-0.011236961,0.0890559
4/19/2019 5:00,0.078657968,0.039883697,0.099049608,0.035492865,0.134838986,0.04259703,0.138706784,0.028667895,0.129165848,0.054552303,0.002433871,0.063524467,0.025824415,0.067174074,-0.011064002,0.090050157
4/19/2019 5:20,0.083322967,0.03740237,0.096992699,0.03540242,0.131816144,0.042619753,0.136331084,0.028225794,0.12912163,0.053446795,0.002756141,0.064019591,0.02679852,0.067627911,-0.011388834,0.091387494
4/19/2019 5:40,0.077827256,0.039420608,0.096161829,0.034712663,0.132678377,0.0433653,0.132979192,0.029819759,0.129395463,0.053169753,0.003972529,0.06408713,0.027051187,0.068795389,-0.010414578,0.09170238
4/19/2019 6:00,0.079804252,0.037415024,0.095229108,0.033777639,0.129870123,0.043350631,0.132972788,0.027050631,0.129819235,0.052568632,0.003823385,0.064993118,0.028013312,0.069441316,-0.010733438,0.093057583
4/19/2019 6:20,0.076876792,0.037840285,0.092857793,0.033829289,0.131836153,0.043110523,0.132860753,0.027174699,0.126266282,0.054423994,0.004083521,0.065788499,0.027639032,0.070795686,-0.010487709,0.094099549
4/19/2019 6:40,0.078779397,0.036034225,0.094146905,0.032288963,0.129991169,0.043329588,0.130438167,0.0266203,0.127623129,0.053117561,0.004271984,0.06640201,0.028237712,0.070987597,-0.010101091,0.094910707
4/19/2019 7:00,0.077342922,0.035717641,0.092007049,0.032244163,0.13152949,0.042812056,0.129186913,0.025532477,0.12686439,0.052960673,0.004682569,0.067167409,0.026581006,0.071509112,-0.010291465,0.096262775
4/19/2019 7:20,0.076655255,0.034775558,0.091821007,0.031517741,0.130412906,0.043367861,0.12586189,0.025763542,0.127801573,0.053102446,0.003473443,0.068383062,0.027623794,0.070597787,-0.009884412,0.097461131
4/19/2019 7:40,0.075069724,0.034655596,0.090640603,0.031535656,0.131207108,0.041613506,0.13157799,0.024204522,0.126741199,0.05229409,0.00518,0.068912248,0.028132331,0.071138976,-0.009680915,0.098034788
4/19/2019 8:00,0.074988155,0.03420015,0.089139987,0.031303357,0.130060055,0.042482416,0.127836418,0.024302505,0.128780751,0.051791395,0.00530805,0.069189455,0.029685682,0.070879902,-0.009697695,0.099290818
4/19/2019 8:20,0.074428536,0.033905832,0.089407889,0.030626876,0.130723719,0.042582155,0.126986473,0.023759862,0.127054843,0.051541218,0.005718798,0.070357456,0.031412596,0.070643829,-0.010143332,0.101228413
4/19/2019 8:40,0.07378516,0.033247769,0.088424247,0.029943876,0.124505343,0.043995679,0.123993497,0.023704256,0.126469826,0.051764962,0.005915736,0.071815829,0.032173689,0.071048188,-0.010917211,0.102982782
4/19/2019 9:00,0.072541355,0.033641164,0.087553928,0.029964122,0.129190681,0.042900496,0.124219658,0.022515672,0.123333731,0.053235835,0.006369667,0.07298686,0.032221451,0.071182527,-0.01080698,0.105031139
4/19/2019 9:20,0.072170971,0.033292113,0.085998527,0.029914627,0.130462346,0.0424116,0.11985288,0.022700525,0.125988187,0.050880319,0.006031502,0.074261679,0.035050347,0.070087263,-0.011238325,0.10647512
4/19/2019 9:40,0.071229499,0.033252451,0.086339246,0.029012378,0.127678188,0.044278012,0.121103762,0.022660298,0.126871924,0.051428664,0.005999947,0.075345376,0.033693893,0.069837147,-0.011195424,0.107825636
4/19/2019 10:00,0.069869438,0.032860928,0.083775225,0.029155556,0.128187156,0.043116113,0.119590784,0.022368978,0.125252936,0.050508459,0.00571426,0.077081896,0.030569068,0.070055132,-0.012298056,0.110277402
4/19/2019 10:20,0.069071866,0.032184658,0.083766994,0.028663914,0.125557941,0.04435186,0.120629837,0.020152854,0.126440887,0.050091701,0.005315648,0.078586959,0.029796606,0.069133307,-0.0120259,0.111384564
4/19/2019 10:40,0.069493981,0.031480347,0.082107964,0.028588516,0.126438839,0.043083336,0.119583434,0.020760587,0.123313815,0.05155203,0.005140087,0.079603457,0.028598657,0.069073898,-0.014137449,0.112562676
4/19/2019 11:00,0.067224395,0.031923734,0.081906021,0.027915687,0.125952393,0.043624378,0.118276196,0.021540176,0.124538546,0.050745507,0.00507957,0.081179044,0.029011525,0.067551523,-0.014861632,0.112782674
4/19/2019 11:20,0.067032565,0.03128282,0.081106432,0.027688063,0.124262134,0.044005715,0.11645263,0.022054449,0.121123482,0.05210205,0.004990689,0.082280128,0.026208016,0.067483252,-0.014336701,0.113009673
4/19/2019 11:40,0.066979284,0.030835915,0.080052177,0.027486213,0.124522871,0.04328335,0.11632081,0.020560108,0.122975415,0.050864922,0.005004368,0.083372629,0.025783805,0.067438705,-0.016267041,0.114638131
4/19/2019 12:00,0.065126151,0.031534921,0.07585096,0.028270244,0.123394298,0.044650664,0.113785757,0.021968463,0.121028841,0.051552389,0.005028551,0.084711541,0.025772248,0.06653801,-0.015757844,0.115199097
4/19/2019 12:20,0.067202284,0.031090973,0.074970132,0.027931347,0.12381665,0.04360419,0.114992181,0.020550639,0.119855961,0.051272193,0.003994716,0.086149095,0.026746027,0.066665526,-0.015816827,0.115876818
4/19/2019 12:40,0.067402233,0.030494654,0.075051884,0.027862242,0.122107028,0.044725947,0.115146288,0.020112683,0.119823865,0.052180831,0.003633244,0.087977373,0.026789507,0.06715,-0.016062547,0.116695686
4/19/2019 13:00,0.067654559,0.029782483,0.073879274,0.027504693,0.123051044,0.044474627,0.113184899,0.02050339,0.119855119,0.051984806,0.005050057,0.088955168,0.025146364,0.067518732,-0.01549573,0.11706574
4/19/2019 13:20,0.067246973,0.029208293,0.072682114,0.027643494,0.122420538,0.045064321,0.111430412,0.020932936,0.120676329,0.051155221,0.002914,0.091643909,0.024797977,0.067141009,-0.015679671,0.117566753
4/19/2019 13:40,0.063913298,0.029986186,0.071960833,0.026966511,0.121520883,0.04539265,0.110735321,0.020604592,0.11802788,0.051534446,0.003638367,0.092385613,0.022878139,0.067904588,-0.016453478,0.118346109
4/19/2019 14:00,0.063913436,0.029938318,0.071974159,0.026189088,0.120598573,0.04529619,0.110180896,0.020698525,0.118536491,0.052613916,0.003277607,0.094479335,0.023934366,0.067619434,-0.016515961,0.119075669
4/19/2019 14:20,0.062998274,0.030507465,0.071817429,0.025738526,0.117223488,0.046028076,0.108412514,0.021185314,0.118266894,0.053415105,0.001884028,0.096837183,0.022920922,0.068244781,-0.016739754,0.119182794
4/19/2019 14:40,0.062851317,0.030571904,0.070112716,0.025655117,0.117924281,0.045629395,0.108430054,0.020743419,0.117099519,0.053339758,0.002299756,0.097799254,0.022404077,0.06847639,-0.017310829,0.119288139
4/19/2019 15:00,0.063035911,0.030619536,0.068739725,0.025627359,0.115523941,0.046912685,0.106978228,0.0217844,0.115830825,0.053108743,0.003290028,0.098059094,0.022594516,0.068272905,-0.018498248,0.119134969
4/19/2019 15:20,0.063434565,0.030304991,0.06820265,0.025998647,0.118247834,0.04627886,0.103855602,0.022411597,0.118015483,0.052543417,0.002450156,0.098074502,0.021884852,0.068696781,-0.019521052,0.119454112
4/19/2019 15:40,0.063035741,0.030831718,0.067802296,0.025927644,0.114525293,0.046995535,0.10628227,0.022210603,0.117317288,0.052941906,0.002600535,0.098689695,0.022069825,0.068995676,-0.020239852,0.120499828
