Well	mode	wavelength	abs
F12	Absorbance	520.0	0.3102000057697296
G1	Absorbance	520.0	1.0535000562667847
G2	Absorbance	520.0	0.974399983882904
G3	Absorbance	520.0	0.91839998960495
G4	Absorbance	520.0	0.8794000148773193
G5	Absorbance	520.0	0.8264999985694885
G6	Absorbance	520.0	0.7627000212669373
G7	Absorbance	520.0	0.6917999982833862
G8	Absorbance	520.0	0.6254000067710876
G9	Absorbance	520.0	0.54339998960495
G10	Absorbance	520.0	0.4747999906539917
G11	Absorbance	520.0	0.39340001344680786
G12	Absorbance	520.0	0.23829999566078186
H1	Absorbance	520.0	0.9491000175476074
H2	Absorbance	520.0	0.8633999824523926
H3	Absorbance	520.0	0.8079000115394592
H4	Absorbance	520.0	0.7771999835968018
H5	Absorbance	520.0	0.7129999995231628
H6	Absorbance	520.0	0.6381999850273132
H7	Absorbance	520.0	0.5703999996185303
H8	Absorbance	520.0	0.4878000020980835
H9	Absorbance	520.0	0.39160001277923584
H10	Absorbance	520.0	0.3276999890804291
H11	Absorbance	520.0	0.24899999797344208
H12	Absorbance	520.0	0.0877000018954277
A1	Absorbance	530	1.2275999784469604
A2	Absorbance	530	1.1739000082015991
A3	Absorbance	530	1.1145000457763672
A4	Absorbance	530	1.0657999515533447
A5	Absorbance	530	1.041100025177002
A6	Absorbance	530	0.9926000237464905
A7	Absorbance	530	0.9352999925613403
A8	Absorbance	530	0.8916000127792358
A9	Absorbance	530	0.8342999815940857
A10	Absorbance	530	0.7860000133514404
A11	Absorbance	530	0.7148000001907349
A12	Absorbance	530	0.5942000150680542
B1	Absorbance	530	1.1920000314712524
B2	Absorbance	530	1.1420999765396118
B3	Absorbance	530	1.0857000350952148
B4	Absorbance	530	1.0405999422073364
B5	Absorbance	530	0.9890000224113464
B6	Absorbance	530	0.9422000050544739
B7	Absorbance	530	0.8932999968528748
B8	Absorbance	530	0.84579998254776
B9	Absorbance	530	0.7700999975204468
B10	Absorbance	530	0.7059999704360962
B11	Absorbance	530	0.6377000212669373
B12	Absorbance	530	0.4984000027179718
C1	Absorbance	530	1.1369999647140503
C2	Absorbance	530	1.107200026512146
C3	Absorbance	530	1.089900016784668
C4	Absorbance	530	1.0485999584197998
C5	Absorbance	530	0.9983000159263611
C6	Absorbance	530	0.9506999850273132
