,0,1
"('A600', 'A750', '750')",0.014340139275493602,0.014340139275493602
"('A600', '500', 'A600')",-0.4246393370711472,0.4246393370711472
"('A600', '500', 'A680')",-0.3001718297739058,0.3001718297739058
"('A600', '500', 'A720')",-0.6359785287242292,0.6359785287242292
"('A600', '500', 'A750')",-0.7227966156095511,0.7227966156095511
"('A600', '500', '500')",-0.22270263942095536,0.22270263942095536
"('A600', '500', '510')",-0.2611570377662812,0.2611570377662812
"('A600', '500', '520')",-0.309345435905911,0.309345435905911
"('A600', '500', '530')",-0.34726459471520665,0.34726459471520665
"('A600', '500', '540')",-0.3744658452507079,0.3744658452507079
"('A600', '500', '550')",-0.3919753432957829,0.3919753432957829
"('A600', '500', '560')",-0.4098203155735094,0.4098203155735094
"('A600', '500', '570')",-0.4159520035359481,0.4159520035359481
"('A600', '500', '580')",-0.41592895148165177,0.41592895148165177
"('A600', '500', '590')",-0.41801921165194833,0.41801921165194833
"('A600', '500', '600')",-0.42200928399798543,0.42200928399798543
"('A600', '500', '610')",-0.4254940221236019,0.4254940221236019
"('A600', '500', '620')",-0.4267550993087019,0.4267550993087019
"('A600', '500', '630')",-0.4356177433180237,0.4356177433180237
"('A600', '500', '640')",-0.43356848624349853,0.43356848624349853
"('A600', '500', '650')",-0.38670958373270237,0.38670958373270237
"('A600', '500', '660')",-0.3670968933340726,0.3670968933340726
"('A600', '500', '670')",-0.32534708105481924,0.32534708105481924
"('A600', '500', '680')",-0.3110826581829721,0.3110826581829721
"('A600', '500', '690')",-0.38546547448832036,0.38546547448832036
"('A600', '500', '700')",-0.5330825902332217,0.5330825902332217
"('A600', '500', '710')",-0.6133076692561996,0.6133076692561996
"('A600', '500', '720')",-0.6616932073754749,0.6616932073754749
"('A600', '500', '730')",-0.7021948777312623,0.7021948777312623
"('A600', '500', '740')",-0.7291888098387931,0.7291888098387931
"('A600', '500', '750')",-0.7580280215423492,0.7580280215423492
"('A600', '510', 'A600')",-0.24249976930294803,0.24249976930294803
"('A600', '510', 'A680')",-0.1716379587247796,0.1716379587247796
"('A600', '510', 'A720')",-0.36322529893795164,0.36322529893795164
"('A600', '510', 'A750')",-0.4130643100824478,0.4130643100824478
"('A600', '510', '500')",-0.1271434443283671,0.1271434443283671
"('A600', '510', '510')",-0.14949376164032868,0.14949376164032868
"('A600', '510', '520')",-0.17652123041956047,0.17652123041956047
"('A600', '510', '530')",-0.1982142104413408,0.1982142104413408
"('A600', '510', '540')",-0.21385901132308094,0.21385901132308094
"('A600', '510', '550')",-0.2237992254808312,0.2237992254808312
"('A600', '510', '560')",-0.23405493655261922,0.23405493655261922
"('A600', '510', '570')",-0.23755513622063495,0.23755513622063495
"('A600', '510', '580')",-0.23754718767876892,0.23754718767876892
"('A600', '510', '590')",-0.23874569780768162,0.23874569780768162
"('A600', '510', '600')",-0.2410285326839856,0.2410285326839856
"('A600', '510', '610')",-0.24301841148505132,0.24301841148505132
"('A600', '510', '620')",-0.2437478650200935,0.2437478650200935
"('A600', '510', '630')",-0.2488120462086767,0.2488120462086767
"('A600', '510', '640')",-0.24765678665368118,0.24765678665368118
"('A600', '510', '650')",-0.220868170710516,0.220868170710516
"('A600', '510', '660')",-0.2096677189863031,0.2096677189863031
"('A600', '510', '670')",-0.1857801592364965,0.1857801592364965
"('A600', '510', '680')",-0.17761957671227568,0.17761957671227568
"('A600', '510', '690')",-0.22010785096808805,0.22010785096808805
"('A600', '510', '700')",-0.30445859383189533,0.30445859383189533
"('A600', '510', '710')",-0.35030486074630174,0.35030486074630174
"('A600', '510', '720')",-0.3779896047376723,0.3779896047376723
"('A600', '510', '730')",-0.4011808726217554,0.4011808726217554
"('A600', '510', '740')",-0.41665778963149136,0.41665778963149136
"('A600', '510', '750')",-0.43317075553775686,0.43317075553775686
"('A600', '520', 'A600')",-0.07152272401304383,0.07152272401304383
"('A600', '520', 'A680')",-0.05111599623403518,0.05111599623403518
"('A600', '520', 'A720')",-0.10719919799188893,0.10719919799188893
"('A600', '520', 'A750')",-0.12212323841386041,0.12212323841386041
"('A600', '520', '500')",-0.03748329842773035,0.03748329842773035
"('A600', '520', '510')",-0.043881156602725735,0.043881156602725735
"('A600', '520', '520')",-0.05196601279224278,0.05196601279224278
"('A600', '520', '530')",-0.05831901940290585,0.05831901940290585
"('A600', '520', '540')",-0.06291018694887485,0.06291018694887485
"('A600', '520', '550')",-0.065863168495647,0.065863168495647
"('A600', '520', '560')",-0.0689140034011142,0.0689140034011142
"('A600', '520', '570')",-0.06998150262933756,0.06998150262933756
"('A600', '520', '580')",-0.07001535205775977,0.07001535205775977
"('A600', '520', '590')",-0.0704112282480791,0.0704112282480791
"('A600', '520', '600')",-0.07110111467869062,0.07110111467869062
"('A600', '520', '610')",-0.07169249877170114,0.07169249877170114
"('A600', '520', '620')",-0.07190539505990268,0.07190539505990268
"('A600', '520', '630')",-0.07338608055434559,0.07338608055434559
"('A600', '520', '640')",-0.07308098156932563,0.07308098156932563
"('A600', '520', '650')",-0.06518998868337755,0.06518998868337755
"('A600', '520', '660')",-0.061890431912096866,0.061890431912096866
"('A600', '520', '670')",-0.054820001597681856,0.054820001597681856
"('A600', '520', '680')",-0.05237565839411795,0.05237565839411795
"('A600', '520', '690')",-0.06475345938063226,0.06475345938063226
"('A600', '520', '700')",-0.08939710965852532,0.08939710965852532
"('A600', '520', '710')",-0.1027755700375792,0.1027755700375792
"('A600', '520', '720')",-0.11093296253836948,0.11093296253836948
"('A600', '520', '730')",-0.11777454304716106,0.11777454304716106
"('A600', '520', '740')",-0.12234081077714354,0.12234081077714354
"('A600', '520', '750')",-0.12724937327716157,0.12724937327716157
"('A600', '530', 'A600')",0.017141271703036587,0.017141271703036587
"('A600', '530', 'A680')",0.011411626402850539,0.011411626402850539
"('A600', '530', 'A720')",0.025702492164773272,0.025702492164773272
"('A600', '530', 'A750')",0.028857252162014957,0.028857252162014957
"('A600', '530', '500')",0.008984665251311252,0.008984665251311252
"('A600', '530', '510')",0.010590023041948893,0.010590023041948893
"('A600', '530', '520')",0.012625713204420519,0.012625713204420519
"('A600', '530', '530')",0.014191424943495012,0.014191424943495012
"('A600', '530', '540')",0.015262412924604285,0.015262412924604285
"('A600', '530', '550')",0.015967415359509074,0.015967415359509074
"('A600', '530', '560')",0.016622229443479908,0.016622229443479908
"('A600', '530', '570')",0.016823515275214973,0.016823515275214973
"('A600', '530', '580')",0.016772947590465215,0.016772947590465215
"('A600', '530', '590')",0.016801928458286985,0.016801928458286985
"('A600', '530', '600')",0.01693815097011031,0.01693815097011031
"('A600', '530', '610')",0.017071371761476994,0.017071371761476994
"('A600', '530', '620')",0.017118971563084173,0.017118971563084173
"('A600', '530', '630')",0.01748755721199524,0.01748755721199524
"('A600', '530', '640')",0.017351111486757276,0.017351111486757276
"('A600', '530', '650')",0.015469102410364144,0.015469102410364144
"('A600', '530', '660')",0.01467912572738117,0.01467912572738117
"('A600', '530', '670')",0.013055121907633693,0.013055121907633693
"('A600', '530', '680')",0.012538868441470785,0.012538868441470785
"('A600', '530', '690')",0.015727357037891077,0.015727357037891077
"('A600', '530', '700')",0.02194489798130972,0.02194489798130972
"('A600', '530', '710')",0.025337405663080848,0.025337405663080848
"('A600', '530', '720')",0.02726984253276199,0.02726984253276199
"('A600', '530', '730')",0.028863675592041504,0.028863675592041504
"('A600', '530', '740')",0.029917537174449116,0.029917537174449116
"('A600', '530', '750')",0.031009949853258334,0.031009949853258334
"('A600', '540', 'A600')",0.05267567163324949,0.05267567163324949
"('A600', '540', 'A680')",0.036479177483985104,0.036479177483985104
"('A600', '540', 'A720')",0.07909956819810016,0.07909956819810016
"('A600', '540', 'A750')",0.08953667899632833,0.08953667899632833
"('A600', '540', '500')",0.027569325383813847,0.027569325383813847
"('A600', '540', '510')",0.03234359191396452,0.03234359191396452
"('A600', '540', '520')",0.038475331689952985,0.038475331689952985
"('A600', '540', '530')",0.04320793031577086,0.04320793031577086
