NAME	ICL-Chlamy PBR exp2
GROUP_TYPE	[unknown]
GROUP_NAME	MC272-group
GROUP_ID	group-109
START	Apr 17, 2019 9:15:43 PM
PLANNED_DURATION	60d 00:00:00
PLANNED_DURATION_SEC	5184000
DURATION	14d 16:43:23
DURATION_SEC	1269803
INOCULUM	85 mL each vessel (4.7x10^5 Chlamy/mL)
MEDIUM	TP NH4-NO3
ORGANISM	1-5 (ICL+Chlamy); 6-8 (Chlamy)
GASSING	
TERMINATION	stopped
TIME_FORMAT	HOURS
TIME_FROM_SEC	0
TIME_TO_SEC	1269803
NOTES	The OD was calibrated at the beggining of the experiment with the cultivation vessels inserted into the PBR.

0 OD = 4.7x10^5 Chlamy/mL

time	od-sensors-1.od-680	od-sensors-1.od-720	od-sensors-2.od-680	od-sensors-2.od-720	od-sensors-3.od-680	od-sensors-3.od-720	od-sensors-4.od-680	od-sensors-4.od-720	od-sensors-5.od-680	od-sensors-5.od-720	od-sensors-6.od-680	od-sensors-6.od-720	od-sensors-7.od-680	od-sensors-7.od-720	od-sensors-8.od-680	od-sensors-8.od-720	pumps-1002.pump-0-consumption	pumps-1002.pump-1-consumption	pumps-1002.pump-2-consumption	pumps-1002.pump-3-consumption	pumps-1002.pump-4-consumption	pumps-1002.pump-5-consumption	pumps-1002.pump-6-consumption	pumps-1002.pump-7-consumption
3.25	0.03708	0.02293	0.07256	0.05392	0.03779	0.02125	0.04064	0.02804	0.05669	0.03493	0.02471	0.01339	0.03061	0.01825	0.0019	-0.00744								
3.333333	0.04054	0.02399	0.07394	0.0564	0.03763	0.02263	0.04128	0.02804	0.06	0.03667	0.02579	0.01205	0.04637	0.02482	0.00277	-0.00602								
3.416667	0.03881	0.02339	0.07515	0.05706	0.037	0.02247	0.04335	0.03052	0.06	0.03619	0.02363	0.01474	0.04749	0.02359	0.00483	-0.00602								
3.5	0.04086	0.02552	0.07723	0.05872	0.03763	0.02247	0.04096	0.02912	0.06166	0.03809	0.02641	0.01564	0.03419	0.02022	0.00453	-0.00701								
3.583333	0.04213	0.02659	0.07811	0.05722	0.04001	0.02477	0.04431	0.0299	0.06133	0.03793	0.02595	0.01699	0.05007	0.0216	0.00483	-0.00545								
3.666667	0.0426	0.02415	0.07985	0.06039	0.04191	0.02523	0.05028	0.0313	0.06316	0.03905	0.02641	0.01729	0.05218	0.02205	0.01919	0.00362								
3.75	0.04467	0.02415	0.07898	0.05805	0.03921	0.0237	0.04495	0.02897	0.06483	0.03841	0.0275	0.01669	0.03403	0.01886	0.00867	-0.00416								
3.833333	0.04499	0.02506	0.08003	0.05988	0.04239	0.02569	0.04785	0.03193	0.06166	0.03984	0.0261	0.01459	0.03747	0.02114	0.01075	-0.00302								
3.916667	0.04213	0.02323	0.07793	0.05689	0.04287	0.02569	0.04656	0.02943	0.0655	0.03984	0.02688	0.01745	0.04781	0.0219	0.01767	-0.00373								
4	0.06408	0.04746	0.08178	0.05988	0.04223	0.02401	0.04383	0.02804	0.06719	0.04048	0.03076	0.01594	0.05169	0.0354	0.02331	0.00874								
4.083333	0.04627	0.02782	0.0816	0.05872	0.04223	0.02569	0.04915	0.03365	0.06584	0.03984	0.03092	0.01534	0.04653	0.02007	0.00763	-0.00473								
4.166667	0.05976	0.0272	0.08213	0.06122	0.04271	0.02401	0.04737	0.03162	0.06786	0.04224	0.02858	0.01594	0.05218	0.0354	0.0136	-0.00473								
4.25	0.06525	0.04473	0.08425	0.06055	0.04479	0.02554	0.04544	0.02959	0.06534	0.04064	0.02812	0.01489	0.05007	0.03572	0.0227	0.00786								
4.333333	0.04691	0.03075	0.08319	0.06156	0.04287	0.02493	0.04866	0.03162	0.0655	0.03936	0.03123	0.01654	0.03685	0.01992	0.00852	-0.00473								
4.416667	0.05094	0.02859	0.08178	0.06039	0.04818	0.02508	0.04753	0.03287	0.06888	0.04224	0.02998	0.01549	0.05056	0.01962	0.01031	-0.00359								
4.5	0.04787	0.02751	0.08513	0.06206	0.04688	0.02631	0.05012	0.03318	0.07091	0.04336	0.03139	0.01654	0.03591	0.01825	0.01031	-0.00445								
4.583333	0.04884	0.02889	0.08337	0.05855	0.04495	0.02616	0.05159	0.03475	0.06803	0.0416	0.02952	0.01669	0.03685	0.01825	0.01375	-0.0033								
4.666667	0.04868	0.02812	0.08407	0.06055	0.0456	0.02585	0.05094	0.03302	0.06786	0.0392	0.03061	0.01444	0.03826	0.01962	0.01031	-0.00402								
4.75	0.05175	0.02859	0.08496	0.06089	0.04769	0.02693	0.05306	0.03287	0.06955	0.04144	0.03264	0.01639	0.03606	0.01719	0.01016	-0.00302								
4.833333	0.05191	0.02874	0.08478	0.06055	0.04769	0.02631	0.05355	0.03444	0.07091	0.0416	0.03453	0.01579	0.04349	0.02022	0.01285	-0.00288								
4.916667	0.05077	0.02843	0.08584	0.06223	0.05028	0.02801	0.05355	0.03224	0.07673	0.04384	0.03233	0.01624	0.03905	0.02083	0.0115	-0.00288								
5	0.07165	0.04762	0.08815	0.06189	0.04931	0.026	0.0542	0.0313	0.07501	0.04561	0.03264	0.01654	0.05594	0.03683	0.02531	0.01066								
5.083333	0.05305	0.02812	0.08815	0.06005	0.05012	0.02971	0.05371	0.03255	0.0745	0.04448	0.03659	0.0182	0.04253	0.02022	0.0127	-0.00388								
5.166667	0.05223	0.02782	0.08958	0.06307	0.05094	0.02801	0.05486	0.03444	0.07622	0.04432	0.03532	0.01745	0.04269	0.0187	0.01465	-0.00115								
5.25	0.07114	0.04666	0.09138	0.06407	0.05028	0.02847	0.05552	0.03365	0.07347	0.04368	0.03422	0.01699	0.05594	0.0373	0.02748	0.01036								
5.333333	0.06208	0.02736	0.0903	0.06189	0.0511	0.02554	0.05585	0.03444	0.07881	0.04674	0.03485	0.01714	0.05676	0.03793	0.0154	-0.00302								
5.416667	0.05565	0.02859	0.0903	0.06256	0.05651	0.03003	0.05601	0.03459	0.07725	0.04642	0.03659	0.01941	0.06022	0.03825	0.02624	-0.00201								
5.5	0.05549	0.02936	0.09336	0.06627	0.05568	0.03018	0.05783	0.03696	0.08141	0.04642	0.03674	0.01835	0.04285	0.02099	0.0148	-0.00259								
5.583333	0.05435	0.02812	0.09336	0.06492	0.05535	0.03065	0.05766	0.03569	0.07915	0.0461	0.03801	0.01987	0.04397	0.02053	0.03168	0.00202								
5.666667	0.05779	0.0323	0.09444	0.06492	0.05552	0.03034	0.05832	0.03633	0.08368	0.04934	0.03849	0.01956	0.04862	0.02451	0.03137	0.00348								
5.75	0.05894	0.0323	0.09354	0.06475	0.05684	0.03315	0.05717	0.03617	0.08193	0.04788	0.0377	0.0185	0.04365	0.01992	0.0267	0								
5.833333	0.05729	0.03137	0.09282	0.06391	0.05651	0.03221	0.05932	0.03727	0.08368	0.05113	0.03849	0.01956	0.04621	0.02297	0.02331	0.00246								
5.916667	0.0596	0.03307	0.09462	0.06712	0.05733	0.03143	0.06165	0.03775	0.08316	0.04772	0.0377	0.01896	0.04509	0.02328	0.01737	-0.00086								
6	0.06358	0.0323	0.09771	0.06763	0.05667	0.03268	0.06048	0.03648	0.08685	0.05032	0.03977	0.01911	0.05857	0.02636	0.03199	0.01348								
6.083333	0.06059	0.03292	0.09753	0.07052	0.06015	0.03424	0.06231	0.03775	0.08508	0.04885	0.03929	0.02002	0.04926	0.02328	0.02439	0.00116								
6.166667	0.06258	0.03245	0.0968	0.06644	0.05733	0.03268	0.06181	0.03743	0.08861	0.0513	0.04249	0.02002	0.04669	0.02389	0.0227	0.00159								
6.25	0.06374	0.03416	0.0999	0.06865	0.06165	0.03471	0.06382	0.04029	0.08456	0.05032	0.04072	0.02078	0.04701	0.02728	0.023	0.00029								
6.333333	0.06258	0.03416	0.09899	0.06933	0.06215	0.03503	0.06365	0.04045	0.08914	0.0531	0.04345	0.02199	0.04975	0.02405	0.02377	0.0026								
6.416667	0.06325	0.03619	0.09899	0.06848	0.06365	0.03771	0.06634	0.04109	0.09128	0.05491	0.04313	0.02093	0.05512	0.02558	0.02531	0.00391								
6.5	0.07216	0.0351	0.10156	0.07258	0.06298	0.03771	0.06349	0.04429	0.09181	0.05475	0.04426	0.02245	0.06556	0.0262	0.03767	0.00801								
6.583333	0.07746	0.03479	0.10156	0.07138	0.06382	0.03708	0.06215	0.03949	0.09235	0.05557	0.04361	0.02337	0.06371	0.04208	0.03656	0.00552								
6.666667	0.08685	0.05787	0.10507	0.07533	0.06584	0.03834	0.06483	0.04013	0.09217	0.05541	0.04522	0.0226	0.06455	0.04368	0.04069	0.01872								
6.75	0.06625	0.03557	0.10285	0.07172	0.06349	0.03739	0.06888	0.04285	0.09576	0.05722	0.04393	0.02184	0.05007	0.02528	0.02732	0.00537								
6.833333	0.06743	0.03761	0.10525	0.07361	0.06567	0.03898	0.06871	0.04237	0.09432	0.05607	0.04409	0.02276	0.05023	0.02574	0.04085	0.00874								
6.916667	0.06962	0.03871	0.10655	0.07447	0.06651	0.04009	0.06651	0.04333	0.09342	0.05508	0.04442	0.02429	0.06791	0.02852	0.02903	0.00406								
7	0.06743	0.03713	0.10599	0.07499	0.06871	0.03787	0.06956	0.04397	0.09684	0.05855	0.04603	0.02276	0.05186	0.02713	0.04374	0.01437								
7.083333	0.07165	0.04234	0.1073	0.07499	0.06837	0.03945	0.06905	0.04413	0.09738	0.05805	0.04879	0.02444	0.05989	0.02883	0.0295	0.00698								
7.166667	0.07131	0.04139	0.10879	0.07464	0.07143	0.04136	0.06837	0.04606	0.09756	0.05872	0.047	0.02459	0.05381	0.03039	0.03199	0.00742								
7.25	0.0708	0.03981	0.10804	0.07654	0.07126	0.04168	0.07041	0.04558	0.0963	0.05839	0.04879	0.0269	0.05365	0.02992	0.03152	0.00845								
7.333333	0.07216	0.04108	0.11142	0.0788	0.07212	0.04376	0.07092	0.04655	0.09847	0.06172	0.04814	0.02598	0.06943	0.04577	0.03372	0.00595								
7.416667	0.07352	0.04378	0.11387	0.0802	0.07366	0.04489	0.06922	0.04606	0.09992	0.05972	0.04912	0.02721	0.07129	0.04448	0.03404	0.00918								
7.5	0.07557	0.04346	0.10655	0.07741	0.07314	0.04489	0.07366	0.04623	0.1001	0.06139	0.05124	0.02829	0.05627	0.03023	0.03498	0.0083								
7.583333	0.09393	0.04473	0.11293	0.08142	0.07229	0.04408	0.0716	0.04979	0.10174	0.06223	0.0501	0.0269	0.07249	0.03809	0.0473	0.01676								
7.666667	0.0754	0.04521	0.11482	0.0816	0.07366	0.04489	0.07263	0.04752	0.10467	0.06559	0.05043	0.02736	0.07608	0.0354	0.03467	0.01007								
7.75	0.08352	0.04569	0.11558	0.08248	0.07469	0.04747	0.0752	0.04882	0.10467	0.06441	0.05206	0.02814	0.06288	0.03195	0.04632	0.01422								
7.833333	0.08056	0.04441	0.11729	0.08371	0.07797	0.05007	0.07503	0.05028	0.10522	0.06746	0.04977	0.02721	0.07505	0.03604	0.03672	0.01184								
7.916667	0.0823	0.04842	0.11293	0.0809	0.07935	0.05072	0.07693	0.05028	0.1043	0.06424	0.05305	0.02906	0.07249	0.03415	0.0473	0.01199								
8	0.08074	0.04988	0.1152	0.08336	0.0771	0.04828	0.07314	0.05093	0.10688	0.06814	0.05206	0.02922	0.05939	0.03305	0.03894	0.01333								
8.083333	0.1006	0.05312	0.11615	0.083	0.07762	0.05039	0.07572	0.0511	0.10836	0.06746	0.05305	0.03077	0.07419	0.04983	0.05252	0.01512								
8.166667	0.08265	0.05101	0.11882	0.08547	0.07762	0.0499	0.07624	0.05159	0.1091	0.0695	0.05305	0.03062	0.07884	0.03698	0.03926	0.01467								
8.25	0.08247	0.05052	0.12247	0.0876	0.08249	0.05186	0.07901	0.0552	0.11246	0.06933	0.05437	0.02984	0.06338	0.03714	0.04342	0.01452								
8.333333	0.10187	0.05117	0.12151	0.08707	0.08075	0.05153	0.07676	0.05388	0.11208	0.07189	0.05272	0.03062	0.07763	0.05359	0.0535	0.01631								
8.416667	0.10424	0.07311	0.12112	0.09064	0.08425	0.05383	0.07901	0.05471	0.11115	0.07189	0.05569	0.0328	0.07832	0.05343	0.05449	0.02908								
8.5	0.08685	0.05198	0.12286	0.08707	0.08478	0.05514	0.07814	0.05471	0.11208	0.07258	0.05602	0.03139	0.07987	0.05442	0.05548	0.01706								
8.583333	0.0872	0.05279	0.12479	0.09333	0.08284	0.05219	0.08232	0.05553	0.11396	0.07172	0.05835	0.03358	0.06539	0.03604	0.04117	0.01616								
8.666667	0.08755	0.05541	0.12576	0.09171	0.08513	0.05547	0.08162	0.05652	0.11471	0.07326	0.06018	0.03389	0.08213	0.044	0.04358	0.01796								
8.75	0.10005	0.05426	0.1246	0.09081	0.0853	0.05481	0.07918	0.05669	0.11565	0.0743	0.05652	0.03217	0.08091	0.05508	0.05797	0.01992								
8.833333	0.08967	0.05606	0.12674	0.09333	0.0876	0.05679	0.08267	0.05735	0.11452	0.0762	0.05652	0.03155	0.06556	0.03889	0.05499	0.01902								
8.916667	0.10958	0.06317	0.1285	0.09297	0.08654	0.0563	0.08778	0.06018	0.11678	0.07482	0.05768	0.03295	0.08283	0.04352	0.04941	0.01856								
