experiment	sampling_day	pbr_tube	Sample_concentration	cc_sampling_time	Filename	type_of_cell
1	42	4	8040.638608	2019-04-08 17:40:41	JF_PBR_xp1_d42_t4_01.#m4	c
1	42	4	5704833.092375999	2019-04-08 17:41:10	JF_PBR_xp1_d42_t4_02.#m4	b
1	42	4	40203.19304	2019-04-08 17:41:10	JF_PBR_xp1_d42_t4_02.#m4	c
1	42	5	2605166.908992	2019-04-08 17:43:08	JF_PBR_xp1_d42_t5_01.#m4	b
1	42	5	0.0	2019-04-08 17:43:08	JF_PBR_xp1_d42_t5_01.#m4	c
1	42	5	31792685.056032002	2019-04-08 17:43:38	JF_PBR_xp1_d42_t5_02.#m4	b
1	42	5	64325.108864	2019-04-08 17:43:38	JF_PBR_xp1_d42_t5_02.#m4	c
1	42	6	29661915.824912004	2019-04-08 17:45:25	JF_PBR_xp1_d42_t6_01.#m4	b
1	42	6	100507.9826	2019-04-08 17:45:25	JF_PBR_xp1_d42_t6_01.#m4	c
1	42	6	29653875.186304003	2019-04-08 17:45:53	JF_PBR_xp1_d42_t6_02.#m4	b
1	42	6	84426.70538399999	2019-04-08 17:45:53	JF_PBR_xp1_d42_t6_02.#m4	c
1	42	7	28612612.486568	2019-04-08 17:47:40	JF_PBR_xp1_d42_t7_01.#m4	b
1	42	7	44223.512343999995	2019-04-08 17:47:40	JF_PBR_xp1_d42_t7_01.#m4	c
1	42	7	28367373.009024	2019-04-08 17:48:09	JF_PBR_xp1_d42_t7_02.#m4	b
1	42	7	52264.150951999996	2019-04-08 17:48:09	JF_PBR_xp1_d42_t7_02.#m4	c
1	42	8	26654716.985519998	2019-04-08 17:49:57	JF_PBR_xp1_d42_t8_01.#m4	b
1	42	8	0.0	2019-04-08 17:49:57	JF_PBR_xp1_d42_t8_01.#m4	c
1	42	8	26063730.047832	2019-04-08 17:50:25	JF_PBR_xp1_d42_t8_02.#m4	b
1	42	8	0.0	2019-04-08 17:50:25	JF_PBR_xp1_d42_t8_02.#m4	c
1	49	1	3247010885.8756003	2019-04-15 10:30:57	JF_PBR_xp1_d49_t1_01.#m4	b
1	49	1	1005079.826	2019-04-15 10:30:57	JF_PBR_xp1_d49_t1_01.#m4	c
1	49	1	878439767.924	2019-04-15 10:31:26	JF_PBR_xp1_d49_t1_02.#m4	b
1	49	1	603047.8956	2019-04-15 10:31:26	JF_PBR_xp1_d49_t1_02.#m4	c
1	49	1	851101596.6568	2019-04-15 10:31:55	JF_PBR_xp1_d49_t1_03.#m4	b
1	49	1	1005079.826	2019-04-15 10:31:55	JF_PBR_xp1_d49_t1_03.#m4	c
1	49	2	1374949201.968	2019-04-15 10:34:43	JF_PBR_xp1_d49_t2_01.#m4	b
1	49	2	603047.8956	2019-04-15 10:34:43	JF_PBR_xp1_d49_t2_01.#m4	c
1	49	2	253280116.152	2019-04-15 10:35:12	JF_PBR_xp1_d49_t2_02.#m4	b
1	49	2	0.0	2019-04-15 10:35:12	JF_PBR_xp1_d49_t2_02.#m4	c
1	49	2	172672714.1068	2019-04-15 10:35:41	JF_PBR_xp1_d49_t2_03.#m4	b
1	49	2	402031.9304	2019-04-15 10:35:41	JF_PBR_xp1_d49_t2_03.#m4	c
1	49	3	2708690131.07	2019-04-15 10:41:05	JF_PBR_xp1_d49_t3_01.#m4	b
1	49	3	12462989.8424	2019-04-15 10:41:05	JF_PBR_xp1_d49_t3_01.#m4	c
1	49	3	1950658926.3007998	2019-04-15 10:41:33	JF_PBR_xp1_d49_t3_02.#m4	b
1	49	3	10251814.2252	2019-04-15 10:41:33	JF_PBR_xp1_d49_t3_02.#m4	c
1	49	3	5654378085.1108	2019-04-15 10:42:03	JF_PBR_xp1_d49_t3_03.#m4	b
1	49	3	29348330.9192	2019-04-15 10:42:03	JF_PBR_xp1_d49_t3_03.#m4	c
1	49	4	277804063.90639997	2019-04-15 10:43:56	JF_PBR_xp1_d49_t4_01.#m4	b
1	49	4	1206095.7912	2019-04-15 10:43:56	JF_PBR_xp1_d49_t4_01.#m4	c
1	49	4	126439042.1108	2019-04-15 10:44:25	JF_PBR_xp1_d49_t4_02.#m4	b
1	49	4	1407111.7563999998	2019-04-15 10:44:25	JF_PBR_xp1_d49_t4_02.#m4	c
1	49	4	113976052.26840001	2019-04-15 10:44:54	JF_PBR_xp1_d49_t4_03.#m4	b
1	49	4	201015.9652	2019-04-15 10:44:54	JF_PBR_xp1_d49_t4_03.#m4	c
1	49	5	2933626996.1288004	2019-04-15 10:46:59	JF_PBR_xp1_d49_t5_01.#m4	b
1	49	5	5025399.130000001	2019-04-15 10:46:59	JF_PBR_xp1_d49_t5_01.#m4	c
1	49	5	980756894.2108	2019-04-15 10:47:28	JF_PBR_xp1_d49_t5_02.#m4	b
1	49	5	2412191.5824	2019-04-15 10:47:28	JF_PBR_xp1_d49_t5_02.#m4	c
1	49	5	692701016.0792	2019-04-15 10:47:57	JF_PBR_xp1_d49_t5_03.#m4	b
1	49	5	1407111.7563999998	2019-04-15 10:47:57	JF_PBR_xp1_d49_t5_03.#m4	c
1	49	6	1184185050.9932	2019-04-15 10:50:06	JF_PBR_xp1_d49_t6_01.#m4	b
