,kB600,kC600,kB750,kC750
495,0.9096035802306516,0.577365492339402,0.8018004341102595,0.45553474817791384
500,0.9139901384417809,0.6138214088335013,0.8056589274790171,0.48426142914234127
505,0.9185973991887778,0.6623154215396748,0.8097107572715445,0.5224760293670774
510,0.9235376823044178,0.7164962708016182,0.8140647621954231,0.5651774706662356
515,0.9283881409988044,0.7746043389803553,0.818332851734214,0.6109972252669448
520,0.9325542689034563,0.8282780044877963,0.8220031009433735,0.6533302893047649
525,0.938328370340105,0.8867214607663852,0.8270695453235803,0.6994510303321883
530,0.9420935804553261,0.9194308989712049,0.8303967547897492,0.7252779932536842
535,0.9458620991310845,0.9539182369567922,0.8337213338606527,0.7525095133721484
540,0.950617524159923,0.9774007869873966,0.837905463317921,0.7711506831298752
545,0.9561678515756122,0.9999218227853417,0.8427958424974097,0.7889375334351809
550,0.9583881374208177,1.0138718226886552,0.8447494014852831,0.7999516529697944
555,0.9617497024364732,1.031284700615363,0.8477046727828761,0.8137203515046461
560,0.9655150360690432,1.0423733944319356,0.8510228161260562,0.8224827518926323
565,0.9703298949951177,1.046007676719137,0.8552625068328196,0.8253587869990376
570,0.9746741311537734,1.0424591638507628,0.8590937360150982,0.8225707676183334
575,0.9789889058805182,1.0342105675933027,0.8628969837525058,0.8160749465790795
580,0.9826028936234519,1.025144185831879,0.8660919088743898,0.8089379408629744
585,0.9862643299385051,1.0165919287962777,0.8693097935501842,0.8022155015848257
590,0.9910789886979753,1.0085742319082356,0.8735523947704367,0.7958868093919675
595,0.9955039103035902,1.003692939829554,0.8774642769838259,0.7920656647321972
600,0.9999999999999999,1.0,0.8814238881682896,0.7891790081269608
605,1.0045365346490354,0.9957517330202758,0.8854263496993316,0.7858479118474129
610,1.0083805471353544,0.9911544265539943,0.8888196752117158,0.7822197102835245
615,1.012500222182839,0.9829790270022599,0.8924563250866658,0.7757833116266728
620,1.01599222829022,0.9734187089144828,0.8955409747624379,0.7682549211796312
625,1.0206118823912405,0.9695316896361625,0.8996123459621888,0.7652451319738187
630,1.0253856263300665,0.9738330487562321,0.9038346663002184,0.7686478544846448
635,1.0295963661505927,0.9764105790267761,0.9075576679585685,0.7707340227941548
640,1.0341098635790613,0.9507719005074997,0.9115392479867369,0.750513984545671
645,1.037770795637671,0.8944388425662992,0.9147683208219165,0.7060001394111599
650,1.04248003226121,0.8245775694480973,0.918931838733145,0.6508574794441608
655,1.0472829139771664,0.7890822032020186,0.9231759696314513,0.6228419644040892
660,1.0526746625281325,0.7633464807689935,0.9279365435496486,0.6025197038799062
665,1.0568798490174238,0.7089531878325797,0.9316465827486153,0.5595774088347324
670,1.0617008817869495,0.6543934595932991,0.9359108697254255,0.5167012288353746
675,1.065455134709273,0.6144113657171273,0.9392080005202891,0.48492835783819405
680,1.071501794539492,0.6020786274492262,0.9445618994333034,0.4751680783295576
685,1.0753901766474816,0.6282021189576605,0.9479981907687796,0.4957306845247125
690,1.0800455795806465,0.713837204944929,0.9520975756233744,0.5632905983287951
695,1.086066446192382,0.8808747445781475,0.9574171107688576,0.694726294137246
700,1.0911018259681269,0.9858995952832357,0.9618605443804576,0.7781558453148364
705,1.0949706256882032,1.0725249800240009,0.9652566999709917,0.8466929504384753
710,1.0992339321198417,1.1494690225289785,0.9690320966784648,0.907582729038134
715,1.1036186721480503,1.1997132400610593,0.9728972655451356,0.9473875907636206
720,1.1090327798645874,1.241508927258007,0.9776742946366185,0.9805167261570877
725,1.1143216310736266,1.2769996483964838,0.9823526504094511,1.0087127003697332
730,1.1191919663896606,1.3010980017059006,0.9866339562000225,1.027826545506897
735,1.1235016539295875,1.3200179163942443,0.990432599787884,1.0428259302169138
740,1.1295688212496564,1.3406823655478173,0.995780668773256,1.0592138681641312
745,1.1341328920261893,1.3569565086009499,0.9998021804195724,1.0720965710214374
750,1.1388390460035611,1.372641139569933,1.0039538523846268,1.0845291856758181
755,1.1436828722011687,1.3853180253954558,1.0082252854025793,1.0945922996464224
760,1.1477137557625636,1.397818797088168,1.011770591164197,1.1044627996609784
765,1.1522783368402174,1.4100798344166339,1.0157954304912846,1.1141940395936367
770,1.1576103994012956,1.4241513379766955,1.0204930029031365,1.1253524013927636
775,1.1620950001483519,1.4348306639987998,1.0244471905924957,1.1338367766344077
780,1.1668181230501722,1.445807799480401,1.0286016380081573,1.1424805348295797
785,1.1722548969180617,1.457132996049153,1.033380503793061,1.1514269807546502
790,1.1769412216955961,1.4667270382303443,1.0375062168096414,1.1589843163807751
795,1.1821659289146769,1.4773470688298607,1.0420959568461383,1.1674078213493122
800,1.1874751020390852,1.4869335990507297,1.0467689842267223,1.17500143079975
