,kB680,kC680,kB750,kC750
590,0.9462939074410154,1.8030348106388978,0.8735523947704367,0.7958868093919675
595,0.950523293842116,1.7942933316172691,0.8774642769838259,0.7920656647321972
600,0.9548132368822112,1.787677938662759,0.8814238881682896,0.7891790081269608
605,0.9591488671866606,1.7800761184447331,0.8854263496993316,0.7858479118474129
610,0.962821078758731,1.7718314612650066,0.8888196752117158,0.7822197102835245
615,0.966758820236558,1.7572198778941093,0.8924563250866658,0.7757833116266728
620,0.9700952517442194,1.7401219388295808,0.8955409747624379,0.7682549211796312
625,0.9745008448619727,1.7332220627339654,0.8996123459621888,0.7652451319738187
630,0.9790619301983629,1.7408916515293877,0.9038346663002184,0.7686478544846448
635,0.9830891452191518,1.7455487093685609,0.9075576679585685,0.7707340227941548
640,0.9873947267787424,1.6997086901446856,0.9115392479867369,0.750513984545671
645,0.9908937094032753,1.5989348217458992,0.9147683208219165,0.7060001394111599
650,0.99539091162701,1.474111819255236,0.918931838733145,0.6508574794441608
655,0.9999811647473058,1.4106626651859644,0.9231759696314513,0.6228419644040892
660,1.0051300590091337,1.3646628149336655,0.9279365435496486,0.6025197038799062
665,1.0091450396061659,1.267431996722077,0.9316465827486153,0.5595774088347324
670,1.0137524278216015,1.1703702070643567,0.9359108697254255,0.5167012288353746
675,1.0173280867264318,1.0984103921543509,0.9392080005202891,0.48492835783819405
680,1.0231059253897492,1.0763469225305273,0.9445618994333034,0.4751680783295576
685,1.0268252665440636,1.1229949165399256,0.9479981907687796,0.4957306845247125
690,1.031264232608872,1.2760980976080725,0.9520975756233744,0.5632905983287951
695,1.037016751460717,1.5738954898630406,0.9574171107688576,0.694726294137246
700,1.041822209650281,1.7625578506930988,0.9618605443804576,0.7781558453148364
705,1.0455102990234637,1.9176438534170563,0.9652566999709917,0.8466929504384753
710,1.0495823879597281,2.0553706708189514,0.9690320966784648,0.907582729038134
715,1.0537634304216565,2.1453117819192786,0.9728972655451356,0.9473875907636206
720,1.0589312052357178,2.220166736686619,0.9776742946366185,0.9805167261570877
725,1.063985607172539,2.2837481829192456,0.9823526504094511,1.0087127003697332
730,1.0686242824640353,2.32686506411096,0.9866339562000225,1.027826545506897
735,1.0727430986251554,2.3607408295653705,0.990432599787884,1.0428259302169138
740,1.078533068999338,2.3976717502062193,0.995780668773256,1.0592138681641312
745,1.0828912898325407,2.4267437603743374,0.9998021804195724,1.0720965710214374
750,1.0873818975628162,2.4547509830739482,1.0039538523846268,1.0845291856758181
755,1.092007178831904,2.477409561046876,1.0082252854025793,1.0945922996464224
760,1.0958514181847232,2.499654254894953,1.011770591164197,1.1044627996609784
765,1.100207072557273,2.521551557485761,1.0157954304912846,1.1141940395936367
770,1.105302759400826,2.54670222471218,1.0204930029031365,1.1253524013927636
775,1.109576710992844,2.5657390877359836,1.0244471905924957,1.1338367766344077
780,1.114085623873115,2.5852601427761215,1.0286016380081573,1.1424805348295797
785,1.1192639877058541,2.605428875237895,1.033380503793061,1.1514269807546502
790,1.1237375908307081,2.622498030052051,1.0375062168096414,1.1589843163807751
795,1.128716153024884,2.6414532027071043,1.0420959568461383,1.1674078213493122
800,1.133783587703366,2.6585057958850804,1.0467689842267223,1.17500143079975
