,kB680,kC680,kB720,kC720,kB680m,kB720m,kC680m,kC720m
455,0.8265268641847237,0.9486359816104994,0.7804374699869238,0.4272539459801707,-1.0873585974215643,2.3848995393010557,1.7894502035772586,-1.6067384011226293
460,0.8336141745759779,0.972508351313515,0.7871244433734176,0.4380011660459371,-1.0780456033566583,2.364524012840911,1.7466299175636941,-1.568547743235422
465,0.838273809706831,0.973865921341088,0.791525493556162,0.4386149226093883,-1.072022330641706,2.351323968115246,1.7447396927866325,-1.5670683588426555
470,0.8433965904790037,0.9657263570443028,0.7963609543329246,0.4349566888219281,-1.0655474723089013,2.337097823309443,1.7591976524455781,-1.5799832860694665
475,0.848491866909875,0.9557597445030408,0.8011701452592705,0.4304716687060523,-1.0591214481195095,2.3229907162180825,1.777464921491486,-1.5964155669970992
480,0.8515833120784002,0.9530302052228454,0.8041050980814652,0.429245673696471,-1.055167680431228,2.3144960032181245,1.783075582901788,-1.6017794408728956
485,0.8594125969718762,0.9602170673421626,0.8114797873080063,0.43250983262775505,-1.0456840038205149,2.2934811847074297,1.7699278016490456,-1.5903723436933204
490,0.8630941122432625,0.9879771127641048,0.8149555497769283,0.44501536643616013,-1.041261987693116,2.283811272607423,1.7224374681236259,-1.5487611071870933
495,0.8685304699391913,1.032116208555202,0.8200953653735891,0.4649173531465378,-1.0347248853321986,2.2695447149978043,1.6507328475046854,-1.4853260262771035
500,0.8727163685257918,1.0972641495059,0.8240417603567309,0.4942810084143203,-1.0297234148623604,2.258544582888478,1.5551772066190792,-1.4005307122189974
505,0.8771093103194764,1.183911935556047,0.8281908494580754,0.533339186212061,-1.024571792896529,2.247256150971954,1.4435486646578826,-1.3011744745192935
510,0.881824722694285,1.2807417701977029,0.8326452643371042,0.5769770983094039,-1.0191355330099303,2.235312641785516,1.3364053131945874,-1.2056363340398577
515,0.8864532712544817,1.3846163342140014,0.8370103379440302,0.6237798104646982,-1.0137403713284405,2.223480047278822,1.2376153820714602,-1.1173224291929413
520,0.8904336611386031,1.4805831616581362,0.8407609767702999,0.6670121791699816,-1.0091857004033131,2.2134758589188825,1.1583966509190071,-1.0463029840351366
525,0.8959344542625401,1.5850966225079832,0.8459627020069996,0.7140865900042573,-1.0029417590662815,2.1998762905336116,1.0828646338894639,-0.978481942496598
530,0.8995218710610038,1.643596116314498,0.8493620253015689,0.7404425920966088,-0.999050718210648,2.191227358461262,1.0446001111859922,-0.9438632630223316
535,0.9031284240041332,1.705263740788507,0.8527504616324159,0.7682151560392819,-0.994973817061327,2.182296162319831,1.0069767858713292,-0.9099658284252133
540,0.9076632355780256,1.7474663707318523,0.8570276875482853,0.7871257828851491,-0.9899896931435586,2.1712699653862613,0.9825688127543406,-0.8875468706601235
545,0.9129620867041516,1.7877039198231228,0.8620337052583488,0.8052583454093514,-0.9841857730541399,2.158609023749672,0.96033232478598,-0.8674040774487942
550,0.9150831937912344,1.8126376606673797,0.8640315204354326,0.8164872119860972,-0.9818918265509963,2.153579417887885,0.946933460927892,-0.8552247683866628
555,0.918288048636854,1.8437982112171367,0.8670542390218926,0.8305055189527802,-0.9784787898515463,2.146055058779133,0.9307142020101853,-0.8404427051760441
560,0.9218854441796716,1.8636416267733336,0.8704402827392211,0.8394349747582793,-0.9746542734478228,2.1375887752189664,0.9206069046275149,-0.8312202815880192
565,0.9264815132055928,1.8700859806993888,0.8747754975457298,0.8423577143673157,-0.9697764505667802,2.1268708857706313,0.9171450784348337,-0.8279459108649595
570,0.930629201330525,1.8637101959641087,0.8786942784272409,0.8394969771665829,-0.9655033130259701,2.1174699304829137,0.9200915834714688,-0.8304949352552514
